Name,Ticker,"Sub-Sector","Market Cap","Total revenue (Q)","PBT (Q)","PBIT (Q)","Operating and Other Expenses (Q)","Net Income (Q)","EPS (Q)","EBITDA (Q)","Total Revenue","Taxes & Other Items","Selling & Administrative Expenses","Raw Materials","Payout Ratio","Power & Fuel Cost","PBT","PBIT","Operating & Other expenses","Net Income","Interest & Other Items","Earnings Per Share","Employee Cost","EBITDA","Dividend Per Share","Depreciation & Amortization"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","169573.25912384","12557.44","5335.3","7810.42","1433.03","4320.43","6.19","11124.41","46854.21","2284.5",,,"0.667420814479638",,"17701.620000000003","27335.560000000005","6185.27","15417.120000000003","9633.94","22.1",,"40668.94","14.75","13333.38"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","154925.1651354","6186.47","919.4700000000003","1542.0300000000002","3799.55","1158.8800000000003","5.36","2386.92","22453.17","178.95",,,"0.20341741253051263",,"5489.129999999999","7851.769999999999","11178.16","5310.179999999999","2362.64","24.58",,"11275.009999999998","5","3423.24"
Tata Motors Ltd,TATAMTRDVR,"Four Wheelers","151860.114896325","20306.9","-1690.279999999998","-875.3999999999979","20218.14","-1645.689999999998","4.37","88.76000000000204","252437.94","2978.11",,,"0",,"-10473.279999999993","-2376.1099999999933","231265.34","-13451.389999999994","8097.17","-36.99",,"21172.600000000006","0","23548.71"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","150015.79582899","2988","799","2137","459","507","3.02","2529","8692","452","136",,"0","8","1426","4337","2871","974","2911","6.187963997198036","40","5637","0","1300"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","146270.44267332","21739.51","524.5800000000017","524.5800000000017","21214.929999999997","361.97000000000173","1.7","524.5800000000017","71644.40000000001","73.05","65238.439999999995",,"0.29591271779167805",,"1441.3300000000092","1441.3300000000092","1808.7500000000073","1368.2800000000093",,"6.420812238754794","3079.95","1517.2600000000093","1.9","75.93"
LTIMindtree Ltd,LTIM,"IT Services & Consulting","144778.97431782","8757.4","1444.1999999999996","1487.7999999999995","7087.3","1113.6999999999996","37.65","1670.0999999999995","33739.9","1383.1999999999998","1349.1","0","0.40247183562824684","50.8","5791.499999999999","5941.899999999999","4795.499999999998","4408.299999999999","150.4","149.0787545576742","20879.9","6664.5999999999985","60","722.7"
Coal India Ltd,COALINDIA,"Mining - Coal","141681.12423773","40434.02","7642.269999999997","7837.3399999999965","31254.2","5533.229999999997","8.98","9179.819999999996","144802.57","9835.62",,,"0.5306345733041575",,"38000.81000000001","38685.12000000001","101442.18","28165.19000000001","684.31","45.7",,"43360.390000000014","24.25","4675.27"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","140364.352445","63238.92","3320.770000000002","5114.370000000002","55742.34","1704.860000000002","1.4","7496.580000000002","245015.19","9474.720000000001","25519.92","116597.19","2.760785369976967","9526.91","18235.119999999974","24533.819999999974","37082.830000000016","8760.399999999972","6298.7","1.3039767738373789","22419.32","33869.019999999975","3.6","9335.2"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","139731.29933","8863","3505","3681","4254","2583","6.11","4609","35477","4777",,,"3.034565916398714",,"15288","15621","16592","10511","333","24.88",,"18885","75.5","3264"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","137699.78348391","9523.89","2160.109999999999","2175.879999999999","7272.02","1704.7399999999993","60.3","2251.869999999999","38172.189999999995","1781.77","856.24","26221.58","0.6610778580280229","122.6","7841.979999999994","7881.489999999994","1319.959999999999","6060.209999999994","39.51","211.77535792473245","1484.47","8167.339999999995","140","285.85"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","135846.31324446","205177.04","13758.609999999995","15715.969999999996","186172.92","10289.819999999996","7.47","19004.119999999995","846817.02","5245.570000000001",,,"0.42194092827004215",,"15037.689999999977","22579.049999999977","811056.92","9792.119999999977","7541.36","7.11",,"35760.09999999998","3","13181.05"
