Name,Ticker,"Sub-Sector","Market Cap","Total revenue (Q)","PBT (Q)","PBIT (Q)","Operating and Other Expenses (Q)","Net Income (Q)","EPS (Q)","EBITDA (Q)","Total Revenue","Taxes & Other Items","Selling & Administrative Expenses","Raw Materials","Payout Ratio","Power & Fuel Cost","PBT","PBIT","Operating & Other expenses","Net Income","Interest & Other Items","Earnings Per Share","Employee Cost","EBITDA","Dividend Per Share","Depreciation & Amortization"
MEP Infrastructure Developers Ltd,MEP,"Roads","225.63864273000002","41.17","-63.24999999999999","-57.06999999999999","96.71","-57.949999999999996","-4.06","-55.53999999999999","312.11","-7.93",,,"0",,"-224.04000000000002","-157.4","406.41","-216.11","66.64","-14.58",,"-94.30000000000001","0","63.1"
SoftSol India Ltd,SOFTSOL,"Software Services","225.515349475","34.49","14.220000000000002","15.620000000000003","18.2","13.640000000000002","9.25","16.290000000000003","80.48","2.63",,,"0",,"2.6999999999999975","4.369999999999997","74.29","0.06999999999999762","1.67","0.05",,"6.189999999999998","0","1.82"
MOS Utility Ltd,MOS,"Online Services","225.29301951",,,,,,,,"109.66","1.64",,,"0",,"7.31999999999999","8.47999999999999","99.04","5.67999999999999","1.16","3.72",,"10.61999999999999","0","2.14"
Mitsu Chem Plast Ltd,MITSU,"Commodity Chemicals","225.033264","83.17","4.139999999999997","6.1599999999999975","75.62","3.299999999999997","2.73","7.549999999999997","309.33","3.0300000000000002",,,"0.02044989775051125",,"14.839999999999987","21.669999999999987","282.38","11.809999999999988","6.83","9.78",,"26.94999999999999","0.2","5.28"
Graviss Hospitality Ltd,GRAVISSHO,"Hotels, Resorts & Cruise Lines","224.81500238","18.95","3.98","4.01","14.17","3.35","0.48","4.779999999999999","67.13","2.02",,,"0",,"7.9699999999999935","8.069999999999993","54.95","5.949999999999994","0.1","0.85",,"12.179999999999993","0","4.11"
Hemant Surgical Industries Ltd,HSIL,,"224.5644",,,,,,,,"111.5","2.41","10.59","81.97","0","0.69","10.059999999999999","12.049999999999999","-0.16000000000000036","7.649999999999999","1.99","15.80578512396694","5.51","12.899999999999999","0","0.85"
Ambalal Sarabhai Enterprises Ltd,AMBALALSA,"Pharmaceuticals","223.079524656","49.93","6.929999999999996","7.919999999999996","41.09","5.489999999999997","0.72","8.839999999999996","182.77","3.72",,,"0",,"14.810000000000022","17.25000000000002","162.76","11.090000000000021","2.44","1.45",,"20.01000000000002","0","2.76"
Standard Capital Markets Ltd,STANCAP,"Consumer Finance","222.8034547","6.34","2.4699999999999998","2.4699999999999998","3.88","1.5899999999999999","3.06","2.46","11.33","1.1",,,"0",,"3.34","3.34","7.99","2.2399999999999998",,"5.25",,"3.34","0","0"
Ajanta Soya Ltd,AJANTSOY,"Agro Products","222.61595034","278.2","-0.03000000000003189","0.8699999999999681","277.04","-0.36000000000003185","-0.04","1.1599999999999682","1239.22","1.5899999999999999",,,"0",,"3.8200000000001366","6.6400000000001365","1230.12","2.2300000000001368","2.82","0.28",,"9.100000000000136","0","2.46"
Calcom Vision Ltd,CALCOM,"Electrical Components & Equipments","222.46852241999997","47.42","2.5000000000000013","3.4600000000000013","43.32","1.4700000000000013","1.16","4.100000000000001","160.95","2.43",,,"0",,"8.069999999999988","11.259999999999987","147.28","5.639999999999988","3.19","4.32",,"13.669999999999987","0","2.41"
RPP Infra Projects Ltd,RPPINFRA,"Construction & Engineering","221.84284185","320.42","21.14000000000002","23.110000000000017","294.25","16.01000000000002","4.27","26.170000000000016","1065.73","12.770000000000001",,,"0",,"41.730000000000075","55.07000000000007","1001.56","28.960000000000072","13.34","7.73",,"64.17000000000007","0","9.1"
Industrial Investment Trust Ltd,IITL,"Asset Management","221.75515425","2.08","-6.58","-6.58","8.4","-6.49","-2.88","-6.32","23.55","7.25",,,"0",,"52.2","52.2","-29.619999999999997","44.95",,"19.93",,"53.17","0","0.97"
Airan Ltd,AIRAN,"IT Services & Consulting","221.2854","26.06","3.8899999999999997","4.02","20.63","2.8","0.22","5.43","100.35","3.46",,,"0",,"13.829999999999998","14.439999999999998","80.77","10.369999999999997","0.61","0.84",,"19.58","0","5.14"
Investment & Precision Castings Ltd,INVPRECQ,"Auto Parts","220.3","44.54","4.029999999999998","5.929999999999998","36.78","2.8899999999999975","5.79","7.759999999999998","170.58","2.19",,,"0.09000900090009001",,"7.760000000000017","14.560000000000016","148.63","5.570000000000016","6.8","11.11",,"21.950000000000017","1","7.39"
Mercantile Ventures Ltd,MERCANTILE,"Real Estate","220.03117136999998","16.83","3.4999999999999982","3.8299999999999983","12.75","9.489999999999998","0.02","4.079999999999998","56.39","-5.4",,,"0",,"10.559999999999999","11.599999999999998","43.81","15.959999999999999","1.04","0.54",,"12.579999999999998","0","0.98"
Shri Keshav Cements and Infra Ltd,SKCIL,"Cement","219.84863964000002","32.42","-1.2299999999999995","5.82","23.92","-26.09","-21.73","8.5","125.37","3.13",,,"0",,"6.049999999999997","24.72","88.34","2.9199999999999973","18.67","2.45",,"37.03","0","12.31"
All E Technologies Ltd,ALLETEC,"IT Services & Consulting","219.30875136","25.88","4.179999999999998","4.179999999999998","21.44","3.079999999999998","1.52","4.439999999999998","92.15","3.68",,,"0.13812154696132597",,"15.760000000000003","15.770000000000003","75.7","12.080000000000004","0.01","7.24",,"16.450000000000003","1","0.68"
MBL Infrastructures Ltd,MBLINFRA,"Construction & Engineering","218.93716415999998","120.08","-16.569999999999997","-8.609999999999996","108.82","-5.019999999999996","-0.48","11.260000000000005","300.95","-0.23",,,"0",,"-50.75000000000003","-17.53000000000003","246.33","-50.52000000000003","33.22","-4.82",,"54.619999999999976","0","72.15"
Rachana Infrastructure Ltd,RILINFRA,"Construction & Engineering","218.60875",,,,,,,,"65.23","0.78",,,"0",,"3.0500000000000016","5.880000000000002","57.49","2.2700000000000014","2.83","1.22",,"7.740000000000002","0","1.86"
Ashapuri Gold Ornament Ltd,AGOL,"Precious Metals, Jewellery & Watches","218.5377612","30.26","0.09000000000000329","0.1400000000000033","29.83","0.04000000000000329","0.01","0.43000000000000327","158.14","0.62",,,"0",,"2.3999999999999817","2.7299999999999818","154.37","1.7799999999999816","0.33","0.71",,"3.769999999999982","0","1.04"
Eco Recycling Ltd,ECORECO,"Business Support Services","217.57085625","4.77","-3.400000000000001","-3.370000000000001","7.94","-3.8200000000000007","-1.97","-3.170000000000001","21.53","0.41999999999999993",,,"0",,"6.610000000000001","6.760000000000002","13.83","6.190000000000001","0.15","3.21",,"7.700000000000001","0","0.94"
KBC Global Ltd,KBCGLOBAL,"Real Estate","216.99257265","73.61","4.030000000000003","6.920000000000003","66.66","3.950000000000003","0.06","6.950000000000003","119.7","0.02",,,"0",,"-1.5700000000000038","10.669999999999996","108.9","-1.5900000000000039","12.24","-0.02",,"10.799999999999997","0","0.13"
Asian Hotels East Ltd,AHLEAST,"Hotels, Resorts & Cruise Lines","216.5784924","28.72","8.059999999999997","8.059999999999997","19.76","5.719999999999997","3.31","8.959999999999997","106.29","5.23",,,"0.1761804087385483",,"29.76000000000001","29.76000000000001","72.91","24.53000000000001","0","14.19",,"33.38000000000001","2.5","3.62"
LGB Forge Ltd,LGBFORGE,"Industrial Machinery","215.573229015","32.79","-1.660000000000001","-1.000000000000001","32.57","-1.660000000000001","-0.07","0.21999999999999886","117.6","0",,,"0",,"-9.300000000000008","-7.140000000000009","119.95","-9.300000000000008","2.16","-0.39",,"-2.3500000000000085","0","4.79"
Uni-Abex Alloy Products Ltd,UNIABEXAL,"Iron & Steel","215.25525","40.85","8.900000000000002","9.060000000000002","30.77","6.570000000000002","33.28","10.080000000000002","166.2","6.84",,,"0.2131741632914091",,"25.369999999999987","26.249999999999986","136.09","18.529999999999987","0.88","93.82",,"30.109999999999985","20","3.86"
VTM Ltd,VTMLTD,"Textiles","214.8556116","54.96","3.689999999999998","3.8499999999999983","48.63","2.8099999999999983","0.7","6.329999999999998","214.5","3.18","7.41","145.86","0.30842628696604607","8.75","12.309999999999997","13.129999999999997","16.789999999999992","9.129999999999997","0.82","2.2695860553450857","12.75","22.939999999999998","0.7","9.81"
Shree Rama Multi-Tech Ltd,SHREERAMA,"Plastic Products","214.216148025","47.15","3.790000000000001","4.130000000000001","41.51","3.790000000000001","0.5251733071913731","5.640000000000001","196.39","2.05",,,"0",,"7.089999999999987","8.529999999999987","181.75","5.039999999999988","1.44","0.6914781878019747",,"14.639999999999986","0","6.11"
Dhunseri Tea & Industries Ltd,DTIL,"Tea & Coffee","214.088825125","42.23","-48.510000000000005","-45.77","83.64","-42.720000000000006","-40.65","-41.410000000000004","348.06","-6.08",,,,,"-29.870000000000005","-20.660000000000004","349.68","-23.790000000000006","9.21","-22.64",,"-1.6200000000000045","3","19.04"
Megasoft Ltd,MEGASOFT,"IT Services & Consulting","213.564268695","11.11","3.209999999999999","7.479999999999999","2.97","2.509999999999999","0.44","8.139999999999999","44.78","2.54",,,"0",,"11.37","22.27","19.67","8.829999999999998","10.9","1.2",,"25.11","0","2.84"
GIR Natureview Resorts Ltd,GIRRESORTS,"Hotels, Resorts & Cruise Lines","213.50680175",,,,,,,,"8.72","0.02","0.04","0","0","0","0.0700000000000002","0.0700000000000002","8.270000000000001","0.0500000000000002","0","0.028090439980561526","0.17","0.2400000000000002","0","0.17"
Nettlinx Ltd,NETTLINX,"IT Services & Consulting","213.310353552","6.73","0.17000000000000035","0.40000000000000036","6.08","0.060000000000000345","0.04500225011250562","0.6500000000000004","23.04","0.53",,,,,"0.30999999999999917","1.2999999999999992","20.75","-0.22000000000000086","0.99","-0.01000050002500125",,"2.289999999999999","0.4","0.99"
Aries Agro Ltd,ARIES,"Fertilizers & Agro Chemicals","213.01107282","92.64","-8.190000000000005","-2.7400000000000038","92.87","-9.370000000000005","-7.21","-0.23000000000000398","481.08","8.23",,,"0.07593014426727411",,"25.369999999999973","48.74999999999997","424.49","17.139999999999972","23.38","13.17",,"56.589999999999975","1","7.84"
Ashnisha Industries Ltd,ASHNI,"Iron & Steel","212.256","10.58","0.5199999999999998","0.5199999999999998","9.99","0.2799999999999998","0.03","0.5899999999999999","21.38","0.24",,,"0",,"1.1399999999999992","1.1499999999999992","19.93","0.8999999999999992","0.01","0.09",,"1.4499999999999993","0","0.3"
Neelamalai Agro Industries Ltd,NEAGI,"Agro Products","212.2475544","10.96","2.62","2.64","8.14","2.29","36.89","2.8200000000000003","58.53","1.05",,,"0.06635846844654826",,"29.180000000000003","29.220000000000002","28.54","28.130000000000003","0.04","452.09",,"29.990000000000002","30","0.77"
Pil Italica Lifestyle Ltd,PILITA,"Home Furnishing","211.5","23.09","1.6800000000000008","2.000000000000001","20.88","0.6600000000000008","0.03","2.210000000000001","85.35000000000001","1.02","10.85","54.67","0","3.28","4.0700000000000065","5.0700000000000065","2.3699999999999997","3.0500000000000065","1","0.12978723404255346","8.32","5.8600000000000065","0","0.79"
JK Agri Genetics Ltd,JK AGRI,"Seeds","211.42232798499998","46.91","3.1699999999999937","5.009999999999994","41.52","2.329999999999994","5.04","5.3899999999999935","203.48999999999998","-4.48","39.19","103.72","0","0.5","-15.280000000000026","-8.260000000000026","31.80000000000001","-10.800000000000026","7.02","-23.29110670065736","34.08","-5.800000000000026","0","2.46"
Precot Ltd,PRECOT,"Textiles","211.14","241.7","-12.590000000000003","-4.710000000000003","238.01","-8.900000000000004","-7.42","3.6899999999999977","961.06","-8.5",,,"0",,"-34.53000000000001","1.6099999999999923","926.05","-26.03000000000001","36.14","-21.69",,"35.00999999999999","0","33.4"
Rane Engine Valve Ltd,RANEENGINE,"Auto Parts","211.02905235","136.52","6.7000000000000135","9.540000000000013","121.91","4.860000000000014","7.11","14.610000000000014","504.41","0.22000000000000003","40.01","218.74","0","29.8","0.16000000000002146","10.710000000000022","61.36999999999999","-0.05999999999997857","10.55","-0.08707245429527484","124.5","29.990000000000023","0","19.28"
K I C Metaliks Ltd,KAJARIR,"Iron & Steel","210.242808","212.89","3.069999999999994","5.979999999999994","203.29","2.119999999999994","0.6","9.599999999999994","761.31","11.77",,,"0",,"30.32","41.51","705.56","18.55","11.19","5.22",,"55.75","0","14.24"
Bedmutha Industries Ltd,BEDMUTHA,"Iron & Steel","209.87656542","207.69","4.100000000000012","12.960000000000012","186.64","4.2900000000000125","1.33","21.05000000000001","748.15","-0.39",,,"0",,"12.620000000000026","46.200000000000024","670.05","13.010000000000026","33.58","4.03",,"78.10000000000002","0","31.9"
SPML Infra Ltd,SPMLINFRA,"Construction & Engineering","209.62552327999998","471.65","14.499999999999972","51.03999999999997","419.68","13.679999999999971","2.84","51.96999999999997","910.71","2.5300000000000002",,,"0",,"2.920000000000009","53.18000000000001","854.34","0.39000000000000856","50.26","0.08",,"56.370000000000005","0","3.19"
Magna Electro Castings Ltd,MAGNAELQ,"Iron & Steel","209.44682695999998","37.62","3.8699999999999997","3.9299999999999997","32.26","2.7499999999999996","6.49","5.359999999999999","167.94","6",,,"0.07414730598121601",,"23.13","23.47","138.97","17.13","0.34","40.46",,"28.97","3","5.5"
Scan Steels Ltd,SCANSTL,"Iron & Steel","209.35642780499998","276.96","3.759999999999966","14.579999999999966","258.86","2.349999999999966","0.45","18.099999999999966","1096.78","6.68",,,"0",,"21.99999999999991","41.30999999999991","1042.18","15.319999999999911","19.31","2.93",,"54.59999999999991","0","13.29"
Titan Biotech Ltd,TITANBIO,"Fertilizers & Agro Chemicals","208.6997435","37.33","6.3599999999999985","6.619999999999998","30","4.949999999999998","6.07","7.329999999999998","145.94","3.27",,,"0.05988023952095809",,"28.109999999999992","28.859999999999992","114.48","24.839999999999993","0.75","30.06",,"31.459999999999994","1.8","2.6"
Aarvi Encon Ltd,AARVI,"Outsourced services","207.86304","106.57","4.099999999999997","4.559999999999997","101.66","3.4599999999999973","2.34","4.909999999999997","437.84","1.1600000000000001",,,"0.20366598778004072",,"15.679999999999959","17.43999999999996","419.17","14.519999999999959","1.76","9.82",,"18.66999999999996","2","1.23"
Deep Polymers Ltd,DEEP,"Specialty Chemicals","207.525528","28.91","4.260000000000002","4.850000000000001","23.72","2.870000000000002","1.24","5.190000000000001","122.39","3.19",,,"0",,"13.330000000000002","15.040000000000003","105.33","10.140000000000002","1.71","4.41",,"17.060000000000002","0","2.02"
Shree Vasu Logistics Ltd,SVLL,"Logistics","207.47727","25.76","0.8600000000000017","3.3400000000000016","17.93","0.23000000000000165","0.21","7.830000000000002","101.84","1.0899999999999999",,,"0",,"3.130000000000006","11.510000000000007","74.66","2.0400000000000063","8.38","1.79",,"27.180000000000007","0","15.67"
Tips Films Ltd,TIPSFILMS,"Movies & TV Serials","207.19592598","32.09","1.5400000000000043","2.2600000000000042","29.7","2.720000000000004","6.28","2.390000000000004","71.54","7.72",,,"0.08882572392965003",,"32.06","33.63","37.39","24.340000000000003","1.57","56.29",,"34.150000000000006","5","0.52"
Sarveshwar Foods Ltd,SARVESHWAR,"Packaged Foods & Meats","206.225128","130.66","2.6600000000000037","10.400000000000004","118.57","1.8000000000000038","2.86","12.090000000000003","697.38","2.9999999999999996",,,"0",,"10.789999999999978","37.67999999999998","656.98","7.789999999999978","26.89","3.08",,"40.39999999999998","0","2.72"
VETO Switch Gears And Cables Ltd,VETO,"Electrical Components & Equipments","205.86806535","85.95","5.960000000000001","7.370000000000001","77.92","1.9800000000000009","1.15","8.030000000000001","295.51","10.170000000000002",,,"0.09345794392523366",,"30.41999999999998","35.19999999999998","257.49","20.24999999999998","4.78","10.7",,"38.01999999999998","1","2.82"
Maximus International Ltd,MAXIMUS,,"204.16928","23.45","1.4499999999999997","1.7799999999999998","21.36","1.3599999999999997","0.11","2.09","101.28","0.95",,,"0",,"7.9000000000000075","9.550000000000008","90.46","6.950000000000007","1.65","0.55",,"10.820000000000007","0","1.27"
Almondz Global Securities Ltd,ALMONDZ,"Investment Banking & Brokerage","203.838992765","30.5","4.74","4.74","25.16","4.03","1.56","5.34","91.54","1.98",,,"0",,"17.760000000000005","17.760000000000005","71.67","15.780000000000005",,"6.1",,"19.870000000000005","0","2.11"
B-Right RealEstate Ltd,BRRL,,"203.318016",,,,,,,,"19.259999999999998","2.41","1.29","0","0","0.04","4.319999999999998","5.179999999999998","11.480000000000002","1.9099999999999975","0.86","2.1505134210052215","0.59","5.859999999999998","0","0.68"
Maheshwari Logistics Ltd,MAHESHWARI,"Logistics","202.28939132","277.38","3.9500000000000144","9.250000000000014","265.02","3.4700000000000144","1.17","12.360000000000014","1151.54","4.75",,,"0",,"18.239999999999927","40.729999999999926","1098.96","13.489999999999927","22.49","4.56",,"52.57999999999993","0","11.85"
GP Petroleums Ltd,GULFPETRO,"Commodity Chemicals","201.38831285","182.01","5.280000000000003","5.470000000000003","175.42","3.960000000000003","0.78","6.590000000000003","791.44","9.47",,,"0",,"34.67000000000001","33.93000000000001","753.95","25.20000000000001","-0.74","4.94",,"37.49000000000001","0","3.56"
Indian Infotech and Software Ltd,INDINFO,"Consumer Finance","201.1179","4.9","4.470000000000001","4.470000000000001","0.43","3.3500000000000005","0.03","4.470000000000001","47.06","0.17",,,"0",,"0.7800000000000011","0.7800000000000011","46.28","0.6100000000000011",,"0.01",,"0.7800000000000011","0","0"
Refex Renewables & Infrastructure Ltd,REFEXRENEW,,"200.69853","46.4","-5.2799999999999985","7.840000000000001","35.19","-5.799999999999999","-25.24","11.21","96.73","0.8099999999999996",,,"0",,"-22.570000000000004","12.129999999999999","68.54","-23.380000000000003","34.7","-67.18",,"28.189999999999998","0","16.06"
Brooks Laboratories Ltd,BROOKS,"Labs & Life Sciences Services","200.58683344000002","12.63","-4.299999999999998","-4.119999999999998","16.31","-4.299999999999998","-1.74","-3.679999999999998","63.76","-17.47",,,"0",,"-38.38000000000001","-36.20000000000001","92.93","-20.91000000000001","2.18","-12.57",,"-29.17000000000001","0","7.03"
Indiabulls Enterprises Ltd,IEL,"Construction & Engineering","199.328681985","17.95","-12.17","-10.78","23.88","-11.92","-0.6","-5.93","89.87","3.46",,,"0",,"7.590000000000003","12.090000000000003","58.14","4.1300000000000034","4.5","0.2",,"31.730000000000004","0","19.64"
Josts Engineering Company Ltd,JOSTS,"Industrial Machinery","198.84187995","55.25","3.4099999999999993","3.649999999999999","50.71","1.9999999999999993","4","4.539999999999999","172.99","3",,,"0.038461538461538464",,"10.090000000000007","11.680000000000007","158.06","7.090000000000007","1.59","15.6",,"14.930000000000007","0.6","3.25"
TRF Ltd,TRF,"Industrial Machinery","198.18946012","47.54","0.5999999999999996","7.199999999999999","39.86","7.31","6.65","7.68","227.25","-6.71",,,"0",,"81.86999999999999","106.61999999999999","118.62","88.57999999999998","24.75","80.49",,"108.63","0","2.01"
Lancor Holdings Ltd,LANCORHOL,"Real Estate","197.721","27.11","0.019999999999998685","4.259999999999999","22.23","-0.39000000000000123","-0.1","4.879999999999999","116.01","1.28",,,"0",,"0.9500000000000028","20.870000000000005","93.03","-0.3299999999999972","19.92","-0.08",,"22.980000000000004","0","2.11"
ABM Knowledgeware Ltd,ABMKNO,"Software Services","197.2816986","20.74","3.6599999999999984","3.709999999999998","16.25","3.1999999999999984","1.64","4.489999999999998","84.8","5.29",,,"0.18825301204819278",,"18.519999999999992","18.779999999999994","63.02","13.229999999999993","0.26","6.64",,"21.779999999999994","1.25","3"
ELGI Rubber Co Ltd,ELGIRUBCO,"Tires & Rubber","197.197","93.63","-17.070000000000007","-6.480000000000008","96.23","-16.10000000000001","-3.21","-2.6000000000000085","427.35","3.31",,,"0",,"10.060000000000006","33.330000000000005","377.73","6.750000000000005","23.27","1.35",,"49.620000000000005","0","16.29"
Seacoast Shipping Services Ltd,SEACOAST,,"197.15688","115.5","5.200000000000005","5.760000000000005","109.74","2.7800000000000047","0.06736842105263158","5.760000000000005","429.62","6.47",,,"0",,"20.75","22.8","406.81","14.280000000000001","2.05","0.35368421052631577",,"22.810000000000002","0","0.01"
Intrasoft Technologies Ltd,ISFT,"Retail - Online","196.74155969","119.76","2.739999999999999","5.559999999999999","113.93","2.429999999999999","1.66","5.829999999999998","461.61","2.67",,,"0",,"11.07999999999999","19.15999999999999","441.35","8.40999999999999","8.08","5.71",,"20.25999999999999","0","1.1"
RDB Rasayans Ltd,RDBRL,"Packaging","195.925688","30.28","3.2900000000000014","3.300000000000001","26.66","2.3800000000000012","1.34","3.620000000000001","124.13","8.35",,,"0",,"32.71","32.81","90.02","24.36","0.1","13.76",,"34.11","0","1.3"
R & B Denims Ltd,RNBDENIMS,"Textiles","195.925632","71.34","1.580000000000002","2.920000000000002","64.78","1.1400000000000021","0.16","6.560000000000002","267.48","5.6499999999999995",,,"0",,"21.12000000000001","26.55000000000001","228.49","15.470000000000013","5.43","2.21",,"38.99000000000001","0","12.44"
Panchsheel Organics Ltd,PANCHSHEEL,"Pharmaceuticals","194.870145","30.7","4.259999999999999","4.489999999999999","25.57","2.979999999999999","2.53","5.129999999999999","104.36","5",,,"0.06259780907668232",,"19.06","19.61","83.17","14.059999999999999","0.55","12.78",,"21.189999999999998","0.8","1.58"
United Polyfab Gujarat Ltd,UNITEDPOLY,"Textiles","194.849415","179.94","1.599999999999984","3.899999999999984","172.86","0.9699999999999841","0.41","7.079999999999984","653.5","2.58",,,"0",,"8.059999999999997","16.869999999999997","624","5.479999999999997","8.81","2.56",,"29.5","0","12.63"
Bella Casa Fashion & Retail Ltd,BELLACASA,"Textiles","194.558625","40.82","1.9200000000000026","2.6900000000000026","37.69","1.3900000000000026","1.25","3.1300000000000026","202.3","2.57",,,"0.10294117647058823",,"10.33","14.23","186.3","7.76","3.9","6.8",,"16","0.7","1.77"
Infinium Pharmachem Ltd,INFINIUM,"Commodity Chemicals","194.0950837",,,,,,,,"115.58","3.47",,,"0",,"12.959999999999992","16.05999999999999","98.18","9.489999999999991","3.1","18.67",,"17.39999999999999","0","1.34"
South India Paper Mills Ltd,STHINPA,"Paper Products","193.875","70","-15.680000000000001","-10.670000000000002","76.28","-10.310000000000002","-6.83","-6.280000000000001","302.34","-7.35",,,"0",,"-24.02","-7.780000000000001","294.09","-16.67","16.24","-11.08",,"8.25","0","16.03"
McLeod Russel India Ltd,MCLEODRUSS,"Tea & Coffee","193.765388425","231.54","-1119.7800000000002","-1045.7500000000002","1259.88","-1078.2700000000002","-103.22","-1028.3400000000001","1386.61","-36.910000000000004",,,"0",,"-1093.4099999999999","-892.9","2209.62","-1056.4999999999998","200.51","-101.14",,"-823.01","0","69.89"
Bharat Gears Ltd,BHARATGEAR,"Auto Parts","193.62728138","179.96","0.5000000000000204","5.06000000000002","169.67","0.8400000000000204","0.54","10.29000000000002","775.12","4.11",,,"0",,"17.6","34.68","720.37","13.490000000000002","17.08","8.78",,"54.75","0","20.07"
Bimetal Bearings Ltd,BIMETAL,"Industrial Machinery","192.952125","60.79","2.009999999999998","2.239999999999998","56.78","1.509999999999998","3.94","4.009999999999998","233.88","3.34","11.56","125.18","0.4934210526315798","11.81","13.029999999999983","13.939999999999984","36.93000000000001","9.689999999999984","0.91","25.33333333333329","27.74","20.659999999999982","12.5","6.72"
Indian Acrylics Ltd,INDIANACRY,"Textiles","192.83408085","229.65","19.029999999999994","24.049999999999994","207.36","19.029999999999994","1.41","22.289999999999992","909.77","0",,,"0",,"19.470000000000006","56.330000000000005","837.65","19.470000000000006","36.86","1.44",,"72.12","0","15.79"
Suraj Products Ltd,SURAJ,"Iron & Steel","192.66","102.81","10.790000000000001","11.940000000000001","88.42","7.6000000000000005","6.67","14.39","285.31","9.709999999999999",,,"0.0657606313020605",,"35.72000000000001","39.74000000000001","236.63","26.010000000000012","4.02","22.81",,"48.68000000000001","1.5","8.94"
Synoptics Technologies Ltd,SYNOPTICS,,"191.7328",,,,,,,,"50.97","1.54","5.05","26.22","0","0.17","5.820000000000006","7.130000000000005","-3.470000000000007","4.280000000000006","1.31","6.114285714285723","11.99","11.010000000000005","0","3.88"
Kanchi Karpooram Ltd,KANCHI,"Commodity Chemicals","190.74025380999998","49.46","2.650000000000002","2.730000000000002","45.97","1.7900000000000023","4.96","3.490000000000002","221.31","5.0200000000000005",,,"0",,"17.820000000000004","18.010000000000005","200.41","12.800000000000004","0.19","30.91",,"20.900000000000006","0","2.89"
Veefin Solutions Ltd,VEEFIN,,"189.37351748",,,,,,,,"6.55","0.15000000000000002","1.33","0","0","0.01","0.85","0.87","2.12","0.7","0.02","563.9249174252799","2.05","1.04","0","0.17"
Aksharchem (India) Ltd,AKSHARCHEM,"Specialty Chemicals","189.17948145","64.81","-2.0799999999999947","-1.4099999999999948","63.05","-1.9599999999999946","-2.45","1.7600000000000051","334.83","0.44",,,,,"-0.5099999999999976","2.7100000000000026","319.27","-0.9499999999999975","3.22","-1.17",,"15.560000000000002","0.5","12.85"
Panasonic Carbon India Co Ltd,PANCARBON,"Batteries","188.664","10.05","3.000000000000001","3.000000000000001","6.88","2.060000000000001","4.3","3.170000000000001","57.559999999999995","4.67","2.42","18.82","0.4489477786438039","5.07","17.49999999999999","17.49999999999999","4.160000000000004","12.82999999999999","0","26.729166666666647","8.82","18.26999999999999","12","0.77"
Goyal Aluminiums Ltd,GOYALALUM,"Iron & Steel","188.4072696","9.57","0.40000000000000113","0.48000000000000115","9.04","0.5900000000000012","0.041999999999999996","0.5300000000000011","66.11","0.73",,,"0",,"2.899999999999996","3.319999999999996","62.59","2.169999999999996","0.42","0.151",,"3.519999999999996","0","0.2"
DC Infotech and Communication Ltd,DCI,"IT Services & Consulting","188.28","96.24","2.8699999999999943","3.6599999999999944","92.39","2.149999999999994","1.73","3.8499999999999943","359.89","2.41",,,"0",,"9.48000000000001","12.250000000000009","346.9","7.070000000000009","2.77","5.9",,"12.990000000000009","0","0.74"
Emkay Global Financial Services Ltd,EMKAY,"Investment Banking & Brokerage","188.12815605","50.49","-7.320000000000002","-7.320000000000002","55.370000000000005","-5.370000000000002","-2.18","-4.880000000000003","215.48","-1.5899999999999999",,,"0.17482517482517484",,"12.489999999999988","12.489999999999988","193.81","14.079999999999988",,"5.72",,"21.669999999999987","1","9.18"
SPL Industries Ltd,SPLIL,"Apparel & Accessories","187.92002592","57.63","4.3000000000000025","5.700000000000003","51.11","3.4000000000000026","1.17","6.520000000000003","298.37","8.219999999999999",,,"0",,"32.07000000000003","34.190000000000026","261.4","23.85000000000003","2.12","8.22",,"36.97000000000003","0","2.78"
Shree Rama Newsprint Ltd,RAMANEWS,"Paper Products","187.35298064","14.84","-100.47999999999999","-100.47999999999999","114.21","-100.47999999999999","-6.81","-99.36999999999999","48.34","0",,,"0",,"-118.19000000000001","-118.19000000000001","162.36","-118.19000000000001","0","-8.01",,"-114.02000000000001","0","4.17"
DE Neers Tools Ltd,DENEERS,"Industrial Machinery","187.1892",,,,,,,,"95.1","2.33",,,"0",,"9.26999999999999","11.19999999999999","83.12","6.939999999999991","1.93","10.96",,"11.97999999999999","0","0.78"
Eros International Media Ltd,EROSMEDIA,"Movies & TV Serials","187.03253205","404.47","-6.349999999999991","12.88000000000001","389.73","-5.11999999999999","-9.72","14.740000000000009","756.51","-3.13",,,"0",,"-119.68","-50.69000000000001","800.37","-116.55000000000001","68.99","-12.48",,"-43.860000000000014","0","6.83"
North Eastern Carrying Corporation Ltd,NECCLTD,"Logistics","186.93487848","73.42","2.7000000000000064","5.0700000000000065","67.63","1.1200000000000063","0.2037621909992683","5.790000000000006","306.41","3.62",,,"0",,"9.400000000000016","17.330000000000016","286.24","5.780000000000016","7.93","1.0651205438598115",,"20.170000000000016","0","2.84"
Mangal Credit and Fincorp Ltd,MANCREDIT,"Consumer Finance","186.47653483","6.64","2.8999999999999995","2.8999999999999995","3.5700000000000003","2.1699999999999995","1.12","3.0699999999999994","21.4","3.1",,,"0.12195121951219513",,"11.01","11.01","9.86","7.91",,"4.1",,"11.54","0.5","0.53"
