Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","1Y Forward EPS Growth","3Y Historical Dividend Growth","5Y Historical Revenue Growth","1Y Hist Op. Cash Flow Growth","1Y Historical EBITDA Growth","5Y Historical EBITDA Growth","5Y Hist Op. Cash Flow Growth","1Y Historical Revenue Growth","1Y Forward Revenue Growth","1Y Forward EBITDA Growth","1Y Historical EPS Growth","5Y Historical EPS Growth","1Y Fwd Op. Cash Flow Growth"
Siemens Ltd,SIEMENS,"Conglomerates","132729.26","3689.8","86.02583446756118","20.945630708406387","12.624788044360624","6.941540415236203","-31.198143720995645","32.299537611367946","4.589154028838882","11.28089970803181","22.966995576726767","15.50913115661319","30.8931030829537","41.71948195095062","6.301253028356424",
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","131521.880924775","1320.3","76.44087768865833","16.34671320535194",,"19.20995583470515","-8.483669240343689","8.17454776621794","5.16258632467077","20.714071902915833","-1.9304391089273842","-4.887058760417801",,"14.169379840835793","8.364281495209358",
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","128872.9425","3836.7","22.113746261408817","-13.931604314895571","6.354559678076854","8.189131883591427","-33.632466759277634","30.496070496695452","14.605840859360097",,"11.69890978111654","0.19947238592399516","-11.3552052892999","14.717705962945159","24.956885180411525","-55.61354153925606"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","122610.39305436001","5133.2","52.80901771250385","-2.256458138811077","27.180779953799174","10.883996719327405","-30.711482682136154","41.459086482114174","15.497267888364918","24.1119915874624","17.67751299002931","5.3710211381382615","14.0317035864792","52.26252968507751","18.169039300130095","-3.606588525894523"
DLF Ltd,DLF,"Real Estate","121797.71249373001","493.15","59.827054564344756","31.909975669099747","25.99210498948732","-19.939784270444427","93.93636400991659","5.395674175560631","-29.934079761321176",,"-2.048111309334699","17.230304018203167","26.0023871879853","35.56935505856646","-19.95892232254168","-8.265853402040165"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","115540.98603021001","1377","15.523171841713092","23.997500260389533",,"15.118504062794225","-62.93068793562394","46.387976724580206","11.776702921635263","7.581377146151702","16.506953819336466","-31.940109145143463",,"54.65728142390086","9.791273741171768",
Grasim Industries Ltd,GRASIM,"Cement","115519.78308401999","1753.2","16.920372606875965","29.851894595114448","35.72088082974534","16.323261824280788","-53.31600230313869","14.684820923501068","16.065302688421635","-0.696114015067284","24.666300685680564","-77.71525266473931","-86.3699421697574","-9.350998712081784","18.970728810493643","-122.04493330028835"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","114557.10051135","1228.65","23.71144423061082","10.042159054498837","49.380158218572156","11.005737767694402","5.424479215938543","-4.458626616019542","7.335336695668304","9.413511791967055","18.561835270568228","3.5545901590999627","9.6324697240421","-13.495318781058858","4.9605193546638615","22.6319095477387"
Varun Beverages Ltd,VBL,"Soft Drinks","108198.58140365999","832.85","72.25618653537059","30.999782574192942","46.5903723947988","26.883348760879944","45.36307677315619","63.04761468100213","27.26463732316673","23.630991813130244","48.59692098668786","23.262279187313947","23.4850301287582","115.74576300442956","46.52928371113283",
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","107752.00103928","1062.95","63.29194285873388","27.027027027027028",,"5.843453848759306","-28.530323260889922","2.3039659088624327","1.4529698669891067","-4.853048869910259","8.555378266672896","13.183201600666852","22.6659603963516","-4.534702418427844","0.8101173072057266","17.457931437638322"
Interglobe Aviation Ltd,INDIGO,"Airlines","103573.37267535999","2657.95","-338.7185972769959","1798.6128625472888",,"18.448082212241125","229.5158442523929","509.6213274295446","14.803724868291512","-11.180679625492484","109.63501250913001","12.573374119698462","54.132844173470794","95.04416196083793",,"-11.501775739182904"
Vedanta Ltd,VEDL,"Metals - Diversified","103245.35816902","284.85","9.76407775383204","8.356345753735576","196.34696130283555","8.115653590919925","-5.428595944283957","-20.5761316872428","3.6573962747131983","13.745374797753751","9.333545849060698","-9.498681350720947","7.9320368729455994","-43.76130198915009","-1.6673844832933438","-14.714048087101162"
Dabur India Ltd,DABUR,"FMCG - Personal Products","102370.44294367","586.5","59.965698938974306","14.947174889728474","20.123329994304395","8.328707417661253","-17.41634439863953","1.8635481237574443","6.445493643868483","6.3998302188079","6.146515107464734","6.803348230688562","15.195121839228202","-1.8558988878671818","4.663132441926399","34.69231595339096"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","101875.8349263","198.4","6.83491901660494","11.000933920518282",,"15.434001405141728","-442.5016303428953","97.40812507535034",,,"26.199293940922196","-48.61457078383267",,"89.88265778648592",,"-100.79922710038058"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","97396.69454335999","446.95","9.646102262390809","4.139145750770576","44.22495703074083","13.642613277319239","-2.2864438254410397","-19.010135135135137","7.661135938614039","5.8237373576838225","13.939667685062073","-4.725423034265887","7.0570242516932","-26.42751012621996","10.719277278562878","8.288213244481454"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","96123.5181322","3677.2","52.717216450876926","8.458290872033778","23.310603716523516","15.161794258416506","-1.8043792021284848","-32.137272611276934","14.534844196567875","10.69321005304018","-10.596889912604567","4.965748991946667","15.350829032612301","-38.40451025958893","15.765837916355462","-21.3125017786505"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","94621.04146488","1164.35","35.50707974740792","25.285412524648642","5.566719197800074","18.710082215851887","-386.5095049117536","24.18199406295399","20.809295873805645",,"28.08672170417552","-27.18731472600624",,"23.593596026772246","22.49192793635546","-100.77476337435274"
