Name,Ticker,"Sub-Sector","Market Cap","Close Price","5Y Historical Revenue Growth","5Y Hist Op. Cash Flow Growth","5Y Historical EBITDA Growth","5Y Historical EPS Growth","3Y Historical Dividend Growth","1Y Forward EBITDA Growth","1Y Historical EPS Growth","1Y Fwd Op. Cash Flow Growth","1Y Historical EBITDA Growth","1Y Hist Op. Cash Flow Growth","1Y Forward EPS Growth","1Y Historical Revenue Growth","1Y Forward Revenue Growth"
Asian Paints Ltd,ASIANPAINT,"Paints","336998.746641915","3526","15.299686937825573","14.68744957892023","13.577196168313499","15.030456859972485","28.815673285259912","19.624307860936","35.50091236962014","39.599325611730734","31.21508229254295","325.08591065292103","24.26626996067168","18.487059539468543","9.830386526092319"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316502.17844787997","1155.8","14.695446402276158","13.44284444265158","13.966311504205642","12.135097003550444","68.68653306034984","6.266130457839799","10.26337544677383","2.0711866289077534","11.066864234117428","-13.854623305127944","5.99817684594348","18.561313683433657","7.331880872254749"
Axis Bank Ltd,AXISBANK,"Private Banks","297007.80349685","977.9","12.665602844360047",,"93.98488939481271","80.4975277544596",,,"-23.54157212844414","-98.95808701151269","59.00547840297926","-21.546203793540958","117.0509460164993","23.27207629776231","-35.539439167818685"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","290148.01","9772.5","7.88816160608552","-29.112176136342082","-1.348474719589332","0.8266760158972986","14.471424255333186","33.1064142243844","111.65459958551395","56.81842748124609","75.17601933585539","-79.217949007475","34.52652490618792","32.86146167178654","16.006961416105174"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","276307.771702375","2419.75","30.460299176455543","43.051683374551274","32.09430476626327","38.71474370951269","6.265856918261115",,"212.73381488324821",,"104.32950815856306","1172.4113536613536",,"96.19707837369272",
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","265949.6610204","2989.3","20.32653598289116",,"24.79329226623841","23.493993482466745","35.72088082974534","15.9325477448192","49.3765689292382","139.44525547445258","47.34450440215848","289.22651933701655","20.35885808763077","40.8190679571522","11.272734076900495"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","261539.22880419","1635.8","20.08709004417748",,"22.816639122116534","32.18048660920687","99.99926666397776",,"134.68045350191213",,"47.79406607280628","-17.254385878938493","309.787372892061","19.921717126701765","17.863626616240136"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","259572.05372945","1097.65","10.252679309112178","4.873414776004381","17.114944333367667","32.222270529863415","42.19334899257827","8.193485202019101","158.7947201296776","86.46874242221344","79.34130184630371","45.60779985641057","7.280453257790369","12.056996785297546","8.33311474341985"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","241151.91400477997","3678.8","23.229516502219873","24.6916186961053","21.192379175108943","23.235033931244708",,"21.797964072512798","59.366765961074435","12.957985301889167","43.97493874212123","-0.2028884331777267","18.651960784313736","38.191392742466704","21.066576756677506"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","240105.61185072002","8224.15","15.092222879717232","13.151092685190303","11.337249301541895","16.759448929411015","42.98157656398376","32.637626708475","-30.970059032536785","14.298820864728597","-10.31551784421586","-25.73663465976771","45.419347491886356","19.673310147543766","8.707754876279035"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","223690.46455948","621.65","3.340116993292064","8.204801590188794","0.39956062063060127","-22.77601895361341",,"56.1053898307478","121.09792929734515","57.56720991092743","40.5216374510296","147.76609397437343","408.3080511608061","25.182195708718382","22.4993934644271"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","221186.81199702","23007.95","11.461110055198919","8.532513891230153","10.899300677707991","14.303041733225164","-13.67587367864962","20.4850134058986","12.845011116828077",,"10.537040364983357","22.425313059033982","24.671878807790858","14.485528582543882","10.734302725688433"
Wipro Ltd,WIPRO,"IT Services & Consulting","217743.32209097","417.95","10.213473873718293","9.167369772757405","8.119108085395222","10.100222843297257","0","5.1270945079983","-7.266658814827902","15.73418273979523","1.9332199177648832","17.87413016597922","7.283581675418467","13.977087426839162","0.25222822260771"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","209776.15576005","167.2","15.774977078900566","11.245613828741607","2.3197129109465475","10.337485945428337","31.03706971044482","34.3162581525512","-22.150706601537678","-3.3460932933735705","-12.891542674763544","65.30619035337145","34.29179978700744","38.539991574087736","-8.245385989867826"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","190441.81296729","799.05","18.36064411179741","13.506248458939996","6.327823092354845","-7.807249165139085","19.348319192733697","49.8914215092327","-79.96234886026215","1.1927136972193608","-50.80070737338507","-11.218119527978683","298.44013285400587","12.60726116960873","1.324135791050298"
NTPC Ltd,NTPC,"Power Generation","186709.30641017","192.9","13.773268432023468","15.68696580508413","12.18635899337579","10.353770924650242","32.030971107105934","4.4246769934617","1.4097334338537983","-1.5810873736472217","10.393638382232865","28.800865243129255","11.118119266055045","29.929404735643004","0.2131441721927044"
