Name,Ticker,"Sub-Sector","Market Cap","Close Price","Percentage Buy Reco’s","No. of analysts with buy reco","Percentage Hold Reco's","Percentage Sell Reco's","Total no. of analysts","Percentage Upside"
Bandhan Bank Ltd,BANDHANBNK,"Private Banks","34560.991666705","211.65","76.92307692307693","20","15.384615384615385","7.6923076923076925","26","30.50570962479608"
Oracle Financial Services Software Ltd,OFSS,"Software Services","34228.28542539","3928.3","100","1","0","0","1","6.13833362816204"
UCO Bank,UCOBANK,"Public Banks","34014.701010720004","28.85",,"0","0","0",,
ACC Ltd,ACC,"Cement","33802.646276315005","1800.45","62.16216216216216","23","21.62162162162162","16.216216216216218","37","17.88561428849199"
Petronet LNG Ltd,PETRONET,"Oil & Gas - Storage & Transportation","33727.50197868","224.55","54.83870967741935","17","32.25806451612903","12.903225806451612","31","10.96286413164332"
Solar Industries India Ltd,SOLARINDS,"Commodity Chemicals","33477.248297525","3746.4","71.42857142857143","5","28.57142857142857","0","7","16.716898001108238"
AIA Engineering Ltd,AIAENG,"Industrial Machinery","33265.37969345","3512.8","81.81818181818183","9","18.181818181818183","0","11","-6.885747905354635"
PB Fintech Ltd,POLICYBZR,"Online Services","33261.194306165","776.45","75","9","16.666666666666664","8.333333333333332","12","-3.039656445011069"
L&T Finance Holdings Ltd,L&TFH,"Diversified Financials","33148.97797185","131.15","73.33333333333333","11","6.666666666666667","20","15","-17.60299625468165"
Bharat Heavy Electricals Ltd,BHEL,"Heavy Electrical Equipments","33062.191555725","95.75","23.8095238095238","5","4.761904761904762","71.42857142857143","21","-38.388625592417064"
Bank of India Ltd,BANKINDIA,"Public Banks","32931.11771175","83.2","50","1","50","0","2","28.97196261682243"
General Insurance Corporation of India,GICRE,"Insurance","32859.912","187.3","100","4","0","0","4","15.856914041644416"
NMDC Ltd,NMDC,"Mining - Iron Ore","32749.52037375","111","84.21052631578947","16","5.263157894736842","10.526315789473683","19","17.67337807606264"
UNO Minda Ltd,UNOMINDA,"Auto Parts","32707.6157001","571.2","86.66666666666667","13","6.666666666666667","6.666666666666667","15","10.90670170827858"
Sona BLW Precision Forgings Ltd,SONACOMS,"Auto Parts","32429.09616489","563.4","60","9","13.333333333333334","26.666666666666668","15","0.1895477931221147"
Embassy Office Parks REIT,EMBASSY,"Real Estate","32216.064643341","306.13","100","15","0","0","15","23.648361067596728"
Gujarat Gas Ltd,GUJGASLTD,"Gas Distribution","32120.2832325","466.9","48.14814814814814","13","29.629629629629626","22.22222222222222","27","13.801971710244317"
Biocon Ltd,BIOCON,"Biotechnology","31873.687546","266.25","63.1578947368421","12","26.31578947368421","10.526315789473683","19","6.821589205397297"
Fertilisers And Chemicals Travancore Ltd,FACT,"Fertilizers & Agro Chemicals","31742.115684570002","491.55",,"0","0","0",,
3M India Ltd,3MINDIA,"Stationery","31443.6266375","28159.3","100","1","0","0","1","4.433497536945813"
Jubilant Foodworks Ltd,JUBLFOOD,"Restaurants & Cafes","31351.6905436","473.05","50","16","28.125","21.875","32","5.042016806722689"
Gujarat Fluorochemicals Ltd,FLUOROCHEM,"Specialty Chemicals","30932.11225","2782.05","100","7","0","0","7","54.198554610508374"
Vedant Fashions Ltd,MANYAVAR,"Textiles","30811.5042312","1278.05","88.88888888888889","8","0","11.11111111111111","9","11.181151997478537"
Syngene International Ltd,SYNGENE,"Labs & Life Sciences Services","30805.244716920002","781.65","100","7","0","0","7","-2.572096648480119"
Jindal Stainless Ltd,JSL,"Iron & Steel","30244.75241724","367.55","100","7","0","0","7","-3.6210182412197143"
Torrent Power Ltd,TORNTPOWER,"Power Transmission & Distribution","30067.386007040004","614.55","25","2","37.5","37.5","8","-12.563938618925834"
Coforge Ltd,COFORGE,"IT Services & Consulting","29790.470303845002","4819.45","62.96296296296296","17","18.51851851851852","18.51851851851852","27","-3.0958069709492473"
Delhivery Ltd,DELHIVERY,"Logistics","29639.67399456","419.15","73.68421052631578","14","21.052631578947366","5.263157894736842","19","10.657764589515336"
KPIT Technologies Ltd,KPITTECH,"IT Services & Consulting","29342.758773975","1060.7","50","4","25","25","8","-8.70106515423986"
Phoenix Mills Ltd,PHOENIXLTD,"Real Estate","29229.186399875","1637.35","93.75","15","6.25","0","16","3.9877769289533997"
Federal Bank Ltd,FEDERALBNK,"Private Banks","28765.456914825","136.85","86.20689655172413","25","13.793103448275861","0","29","17.863720073664826"
Metro Brands Ltd,METROBRAND,"Footwear","28744.134223679997","1055.35","63.63636363636363","7","18.181818181818183","18.181818181818183","11","-2.4390243902438984"
Max Financial Services Ltd,MFSL,"Insurance","28380.513193184997","817.1","92.85714285714286","13","7.142857142857142","0","14","14.610567276706997"
Sundaram Finance Ltd,SUNDARMFIN,"Consumer Finance","28374.99471125","2570.8","66.66666666666666","8","33.33333333333333","0","12","3.063958681216267"
Poonawalla Fincorp Ltd,POONAWALLA,"Consumer Finance","28340.480361890004","372.55","100","8","0","0","8","2.4529068979536555"
CRISIL Ltd,CRISIL,"Stock Exchanges & Ratings","28273.15443988","3902.9",,"0","0","0",,"-12.732068056058335"
Coromandel International Ltd,COROMANDEL,"Fertilizers & Agro Chemicals","27993.6853569","964.65","90","9","10","0","10","23.55415352260778"
Oil India Ltd,OIL,"Oil & Gas - Exploration & Production","27804.149174159997","256.85","80","12","6.666666666666667","13.333333333333334","15","22.854914196567872"
Thermax Limited,THERMAX,"Industrial Machinery","27177.3441638","2433.45","37.5","9","33.33333333333333","29.166666666666668","24","-1.524882940372112"
Deepak Nitrite Ltd,DEEPAKNTR,"Commodity Chemicals","27174.267523635","1991.1","58.333333333333336","7","25","16.666666666666664","12","8.56526212763822"
GMR Infrastructure Ltd,GMRINFRA,"Construction & Engineering","27010.855105625","44.35","100","2","0","0","2","-1.675977653631285"
