Name,Ticker,"Sub-Sector","Market Cap","Percentage Hold Reco's","No. of analysts with buy reco","Percentage Buy Reco’s","Percentage Sell Reco's","Total no. of analysts","Percentage Upside"
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","64409.885083830006","5.555555555555555","16","88.88888888888889","5.555555555555555","18","8.89005786428196"
Berger Paints India Ltd,BERGEPAINT,"Paints","64259.59738275","31.818181818181817","4","18.18181818181818","50","22","-7.785336356764928"
Jindal Steel And Power Ltd,JINDALSTEL,"Iron & Steel","63673.52803285","17.391304347826086","17","73.91304347826086","8.695652173913043","23","3.385683845000402"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","63174.70898415","26.31578947368421","24","63.1578947368421","10.526315789473683","38","-2.6884752773077647"
Tube Investments of India Ltd,TIINDIA,"Cycles","62401.97680599","20","3","60","20","5","-4.9831211867818785"
CG Power and Industrial Solutions Ltd,CGPOWER,"Heavy Electrical Equipments","61692.544476630006","0","3","75","25","4","-14.098279490035894"
IDBI Bank Ltd,IDBI,"Public Banks","61449.978430125","0","0",,"0",,"-26.509186351706035"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","61413.338690740005","28.205128205128204","18","46.15384615384615","25.64102564102564","39","-2.378705541635479"
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","60145.29798119499","20","7","70","10","10","-6.323185011709598"
Zydus Lifesciences Ltd,ZYDUSLIFE,"Pharmaceuticals","59866.813801155","30","17","56.666666666666664","13.333333333333334","30","-8.698960182602086"
Info Edge (India) Ltd,NAUKRI,"Online Services","59674.6347395","23.809523809523807","11","52.38095238095239","23.809523809523807","21","-0.8972003026699816"
Power Finance Corporation Ltd,PFC,"Specialized Finance","59309.42883072","0","8","100","0","8","-3.182728689071892"
Trent Ltd,TRENT,"Retail - Apparel","59224.2110026","10.526315789473683","12","63.1578947368421","26.31578947368421","19","-4.261704681872749"
Canara Bank Ltd,CANBK,"Public Banks","58360.570206840006","15.384615384615385","10","76.92307692307693","7.6923076923076925","13","11.905502020516012"
Polycab India Ltd,POLYCAB,"Electrical Components & Equipments","57193.94297747","30.76923076923077","14","53.84615384615385","15.384615384615385","26","-8.889558732946282"
Bosch Ltd,BOSCHLTD,"Auto Parts","56424.4301522","20","2","40","40","5","-4.997373379924255"
Union Bank of India Ltd,UNIONBANK,"Public Banks","55258.93326261","50","2","50","0","4","1.422387136672858"
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines","55033.41125079","25","11","68.75","6.25","16","5.820105820105822"
PI Industries Ltd,PIIND,"Diversified Chemicals","54763.96541756","8.695652173913043","20","86.95652173913044","4.3478260869565215","23","11.338835650584393"
IDFC First Bank Ltd,IDFCFIRSTB,"Private Banks","53920.27939439","20","5","50","30","10","-7.805777504609705"
One 97 Communications Ltd,PAYTM,"Business Support Services","53081.9049585","15.384615384615385","11","84.61538461538461","0","13","19.48145050480912"
Cummins India Ltd,CUMMINSIND,"Industrial Machinery","52455.942","12","14","56.00000000000001","32","25","-7.892303220862944"
Adani Wilmar Ltd,AWL,"FMCG - Foods","51824.684374375","0","2","50","50","4","29.153605015673982"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","51299.146536435","25","16","66.66666666666666","8.333333333333332","24","-2.766365379348117"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","50706.5065269","31.818181818181817","10","45.454545454545446","22.727272727272727","22","-3.9726387792686193"
Ashok Leyland Ltd,ASHOKLEY,"Trucks & Buses","50002.24751028","12.82051282051282","31","79.48717948717949","7.6923076923076925","39","6.283029947152078"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","49727.715366","25","13","65","10","20","-10.281176218072547"
Abbott India Ltd,ABBOTINDIA,"Pharmaceuticals","49707.535950009995","0","6","75","25","8","-1.678098368925146"
Astral Ltd,ASTRAL,"Building Products - Pipes","49589.725364779995","45","7","35","20","20","-7.9164748259892255"
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,"Online Services","49420","40","1","20","40","5","1.9830028328611897"
Yes Bank Ltd,YESBANK,"Private Banks","49315.97427981","36.36363636363637","0","0","63.63636363636363","11","-12.53644314868804"
Colgate-Palmolive (India) Ltd,COLPAL,"FMCG - Personal Products","49155.96363282","46.875","6","18.75","34.375","32","-10.363525701322413"
JSW Energy Ltd,JSWENERGY,"Power Generation","49035.62815382","22.22222222222222","3","33.33333333333333","44.44444444444444","9","-16.359986617597855"
Procter & Gamble Hygiene and Health Care Ltd,PGHH,"FMCG - Personal Products","48994.12497056","50","1","50","0","2","4.847499064157391"
Indian Overseas Bank,IOB,"Public Banks","48957.24774304","0","0",,"0",,"-45.94594594594594"
Aditya Birla Capital Ltd,ABCAPITAL,"Diversified Financials","48661.293293840004","14.285714285714285","6","85.71428571428571","0","7","1.3603627634035804"
Schaeffler India Ltd,SCHAEFFLER,"Auto Parts","48322.8426172","42.857142857142854","3","42.85714285714285","14.285714285714285","7","-0.08409884849268694"
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","47363.3421471","8.333333333333332","21","87.5","4.166666666666666","24","46.59270998415214"
Tata Elxsi Ltd,TATAELXSI,"Software Services","47131.1211742","0","1","16.66666666666666","83.33333333333334","6","-20.719339856369874"
NHPC Ltd,NHPC,"Renewable Energy","46207.160103","0","9","100","0","9","10.869565217391305"
Balkrishna Industries Ltd,BALKRISIND,"Tires & Rubber","46163.17838605","31.818181818181817","8","36.36363636363636","31.818181818181817","22","-6.698213949203285"
Tata Communications Ltd,TATACOMM,"Telecom Services","45155.4","50","2","33.33333333333333","16.666666666666664","6","-8.482706387275945"
Godrej Properties Ltd,GODREJPROP,"Real Estate","45079.63794972","30","10","50","20","20","-8.042432465770327"
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","43808.67781128","43.75","4","25","31.25","16","-1.5990159901598981"
REC Ltd,RECLTD,"Specialized Finance","43527.19272","0","5","100","0","5","-3.206291591046589"
MRF Ltd,MRF,"Tires & Rubber","42947.489269485","20","1","10","70","10","-21.78855357706271"
Supreme Industries Ltd,SUPREMEIND,"Plastic Products","42883.0010433","27.27272727272727","13","59.09090909090909","13.636363636363635","22","-12.260434254569153"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","42537.98703","100","0","0","0","1","-1.689708141321036"
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","42445.392835959996","24","18","72","4","25","-6.819436775262283"
Lupin Ltd,LUPIN,"Pharmaceuticals","42358.074812775","33.33333333333333","10","27.77777777777778","38.88888888888889","36","-19.419822723609993"
Patanjali Foods Ltd,PATANJALI,"Packaged Foods & Meats","42176.020323029996","0","1","100","0","1","20.590507252596353"
Alkem Laboratories Ltd,ALKEM,"Pharmaceuticals","41981.064975","31.818181818181817","8","36.36363636363636","31.818181818181817","22","-2.8665821739316204"
Container Corporation of India Ltd,CONCOR,"Logistics","41331.482096579995","30.76923076923077","14","53.84615384615385","15.384615384615385","26","3.1915677747475457"
L&T Technology Services Ltd,LTTS,"Software Services","41048.76171966","21.73913043478261","5","21.7391304347826","56.52173913043478","23","-11.653409529693409"
Fsn E-Commerce Ventures Ltd,NYKAA,"Wellness Services","40781.42793777","8.695652173913043","16","69.56521739130434","21.73913043478261","23","28.36656173487234"
Hindustan Petroleum Corp Ltd,HINDPETRO,"Oil & Gas - Refining & Marketing","40683.9665346","16.129032258064516","20","64.51612903225806","19.35483870967742","31","-0.10460251046025501"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","40459.45100886","36.36363636363637","4","18.18181818181818","45.45454545454545","22","3.8625568246039124"
Indian Bank,INDIANB,"Public Banks","40084.523058715","25","6","75","0","8","5.483921081249021"
Bharat Forge Ltd,BHARATFORG,"Iron & Steel","39952.16051192","18.51851851851852","17","62.96296296296296","18.51851851851852","27","8.612049877636636"
United Breweries Ltd,UBL,"Alcoholic Beverages","39693.822993625","33.33333333333333","6","40","26.666666666666668","15","-0.34970857618651124"
Mahindra and Mahindra Financial Services Ltd,M&MFIN,"Consumer Finance","39524.49501084","33.33333333333333","20","60.60606060606061","6.0606060606060606","33","-5.118601747815224"
Dalmia Bharat Ltd,DALBHARAT,"Cement","38583.4582938","16.666666666666664","22","73.33333333333333","10","30","10.787172011661808"
Honeywell Automation India Ltd,HONAUT,"Electronic Equipments","38211.426724245","50","2","33.33333333333333","16.666666666666664","6","1.577693631032329"
Oberoi Realty Ltd,OBEROIRLTY,"Real Estate","37398.308086635","25","14","58.333333333333336","16.666666666666664","24","-2.192406786252487"
APL Apollo Tubes Ltd,APLAPOLLO,"Building Products - Pipes","37371.71384057","7.6923076923076925","11","84.61538461538461","7.6923076923076925","13","3.892248896144859"
Linde India Ltd,LINDEINDIA,"Commodity Chemicals","37368.98799191","0","2","100","0","2","7.115959559075249"
Steel Authority of India Ltd,SAIL,"Iron & Steel","37112.769721665005","26.08695652173913","11","47.82608695652174","26.08695652173913","23","0.16694490818030683"
Star Health and Allied Insurance Company Ltd,STARHEALTH,"Insurance","37060.45307272","5.88235294117647","12","70.58823529411765","23.52941176470588","17","9.872861403233399"
Mphasis Ltd,MPHASIS,"IT Services & Consulting","36243.27245112","27.586206896551722","13","44.827586206896555","27.586206896551722","29","4.0474456352096535"
Persistent Systems Ltd,PERSISTENT,"Software Services","35792.87935545","20","17","56.666666666666664","23.333333333333332","30","6.279279847062028"
Vodafone Idea Ltd,IDEA,"Telecom Services","35292.774673625","20","0","0","80","15","-24.137931034482758"
Bandhan Bank Ltd,BANDHANBNK,"Private Banks","34762.28109042","15.384615384615385","20","76.92307692307693","7.6923076923076925","26","40.176088971269685"
Mazagon Dock Shipbuilders Ltd,MAZDOCK,"Shipbuilding","34732.02645","33.33333333333333","1","33.33333333333333","33.33333333333333","3","-56.73760924479545"
PB Fintech Ltd,POLICYBZR,"Online Services","34051.267632635","16.666666666666664","9","75","8.333333333333332","12","-5.28937536868323"
