Name,Ticker,"Sub-Sector","Market Cap","Earnings Quality Rank","Fundamental Score","Price Momentum Rank","Price to Intrinsic Value Rank","Value Momentum Rank"
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","64409.885083830006","14","2.86440677966102","69","53","85"
Berger Paints India Ltd,BERGEPAINT,"Paints","64259.59738275","28","5.12767857142857","45","10","25"
Jindal Steel And Power Ltd,JINDALSTEL,"Iron & Steel","63673.52803285","96","6.10074626865672","93",,"83"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","63174.70898415","12","4.975","95","46","67"
Tube Investments of India Ltd,TIINDIA,"Cycles","62401.97680599","79","5.75508474576271","80","8","40"
CG Power and Industrial Solutions Ltd,CGPOWER,"Heavy Electrical Equipments","61692.544476630006","69","2.82142857142857","96","3","52"
IDBI Bank Ltd,IDBI,"Public Banks","61449.978430125","45","4.64677419354839","69","78","93"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","61413.338690740005","66","5.51666666666667","61","81","81"
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","60145.29798119499","35","6.05","88","14","57"
Zydus Lifesciences Ltd,ZYDUSLIFE,"Pharmaceuticals","59866.813801155","60",,"75","52","80"
Info Edge (India) Ltd,NAUKRI,"Online Services","59674.6347395","13","6.1","9",,"5"
Power Finance Corporation Ltd,PFC,"Specialized Finance","59309.42883072","26","6.66363636363636","97","99","100"
Trent Ltd,TRENT,"Retail - Apparel","59224.2110026","63","7.15","46","1","38"
Canara Bank Ltd,CANBK,"Public Banks","58360.570206840006","17","5.59838709677419","70","100","98"
Polycab India Ltd,POLYCAB,"Electrical Components & Equipments","57193.94297747","87","6.44428571428571","95","20","64"
Bosch Ltd,BOSCHLTD,"Auto Parts","56424.4301522","82","4.79915254237288","94","43","44"
Union Bank of India Ltd,UNIONBANK,"Public Banks","55258.93326261","42","5.25161290322581","71","99","100"
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines","55033.41125079","81","4.67777777777778","58",,"53"
PI Industries Ltd,PIIND,"Diversified Chemicals","54763.96541756","41","6.00441176470588","62","25","58"
IDFC First Bank Ltd,IDFCFIRSTB,"Private Banks","53920.27939439","16","2.60645161290322","80","77","84"
One 97 Communications Ltd,PAYTM,"Business Support Services","53081.9049585","2","3.01428571428572","68",,"60"
Cummins India Ltd,CUMMINSIND,"Industrial Machinery","52455.942","90","6.14642857142857","100","31","72"
Adani Wilmar Ltd,AWL,"FMCG - Foods","51824.684374375","17","5.44402985074627","7","7","7"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","51299.146536435","37","7.21739130434783","38","81","87"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","50706.5065269","89","6","66","37","27"
Ashok Leyland Ltd,ASHOKLEY,"Trucks & Buses","50002.24751028","25","2.72857142857143","58","40","66"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","49727.715366","76",,"34","45","37"
Abbott India Ltd,ABBOTINDIA,"Pharmaceuticals","49707.535950009995","99","6.45285714285714","58","21","30"
Astral Ltd,ASTRAL,"Building Products - Pipes","49589.725364779995","75","7.13095238095238","47","2","29"
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,"Online Services","49420","100","6.3","20","28","41"
Yes Bank Ltd,YESBANK,"Private Banks","49315.97427981","50","0.666129032258065","42",,"68"
Colgate-Palmolive (India) Ltd,COLPAL,"FMCG - Personal Products","49155.96363282","99","6.79444444444444","17","23","33"
JSW Energy Ltd,JSWENERGY,"Power Generation","49035.62815382","4","5.43571428571429","14","39","52"
Procter & Gamble Hygiene and Health Care Ltd,PGHH,"FMCG - Personal Products","48994.12497056","96","5.88888888888889","14","11","12"
Indian Overseas Bank,IOB,"Public Banks","48957.24774304","5","4.73709677419355","67",,"73"
Aditya Birla Capital Ltd,ABCAPITAL,"Diversified Financials","48661.293293840004","18","7.93333333333333","99","52","88"
Schaeffler India Ltd,SCHAEFFLER,"Auto Parts","48322.8426172","76","5.3656862745098","65",,"49"
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","47363.3421471","85","4.38529411764706","37",,"59"
Tata Elxsi Ltd,TATAELXSI,"Software Services","47131.1211742","85","7.5","6","4","30"
NHPC Ltd,NHPC,"Renewable Energy","46207.160103","28","5.96666666666667","69","92","89"
Balkrishna Industries Ltd,BALKRISIND,"Tires & Rubber","46163.17838605","23","7.1","84","51","67"
Tata Communications Ltd,TATACOMM,"Telecom Services","45155.4","95","5.69166666666667","50","49","23"
Godrej Properties Ltd,GODREJPROP,"Real Estate","45079.63794972","17","4.11785714285714","31","10","43"
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","43808.67781128","67","7.21666666666667","7","89","88"
REC Ltd,RECLTD,"Specialized Finance","43527.19272","30","5.75454545454545","98","100","96"
MRF Ltd,MRF,"Tires & Rubber","42947.489269485","32","5.705","83","25","78"
Supreme Industries Ltd,SUPREMEIND,"Plastic Products","42883.0010433","73","5.97857142857143","91","14","61"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","42537.98703","12","5.52272727272727","92",,"96"
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","42445.392835959996","71","5.24","47","65","69"
Lupin Ltd,LUPIN,"Pharmaceuticals","42358.074812775","47","2.02571428571429","39","33","42"
Patanjali Foods Ltd,PATANJALI,"Packaged Foods & Meats","42176.020323029996","48","6.15298507462687","8","29","6"
Alkem Laboratories Ltd,ALKEM,"Pharmaceuticals","41981.064975","49","5.765","47","64","42"
Container Corporation of India Ltd,CONCOR,"Logistics","41331.482096579995","70","10","2","44","12"
L&T Technology Services Ltd,LTTS,"Software Services","41048.76171966","90","5.3125","27","39","20"
Fsn E-Commerce Ventures Ltd,NYKAA,"Wellness Services","40781.42793777","3","5.91666666666667","7",,"1"
Hindustan Petroleum Corp Ltd,HINDPETRO,"Oil & Gas - Refining & Marketing","40683.9665346","62","5.21428571428571","79","94","99"
Page Industries Ltd,PAGEIND,"Apparel & Accessories","40459.45100886","77","5.50147058823529","28","14","3"
Indian Bank,INDIANB,"Public Banks","40084.523058715","59","7.04193548387097","81","98","99"
Bharat Forge Ltd,BHARATFORG,"Iron & Steel","39952.16051192","30","3.72457627118644","76","34","45"
United Breweries Ltd,UBL,"Alcoholic Beverages","39693.822993625","92","8.5","10","7","1"
Mahindra and Mahindra Financial Services Ltd,M&MFIN,"Consumer Finance","39524.49501084","5","3.90434782608696","92","73","88"
Dalmia Bharat Ltd,DALBHARAT,"Cement","38583.4582938","32","5.02567567567568","67","46","62"
Honeywell Automation India Ltd,HONAUT,"Electronic Equipments","38211.426724245","81","7.15","29","2","12"
Oberoi Realty Ltd,OBEROIRLTY,"Real Estate","37398.308086635","23","7.30714285714286","24","67","32"
