Name,Ticker,"Sub-Sector","Market Cap","Close Price","Interest Coverage Ratio","Quick Ratio","Asset Turnover Ratio","Cash Conversion Cycle","Days of Inventory Outstanding","Days Payable Outstanding","Days of Sales Outstanding","Debt to Equity","Earning Power","Inventory Turnover Ratio","Long Term Debt to Equity","Net Income / Liabilities","Current Ratio","Working Capital Turnover Ratio"
Parker Agro Chem Exports Ltd,PARKERAC,,"4.87458","10.62","23.000000000000018","0.5939086294416243","0.9416846652267817",,,,"43.950688073394495","5.063291139240506","15.265486725663727",,"0","30.697674418604663","0.5939086294416243","-6.6060606060606055"
Sikozy Realtors Ltd,SIKOZY,"Real Estate","4.859547","1.06",,"2.545454545454546","0",,,,,"38.29787234042563",,"0","0",,"3.1363636363636367","0"
Interactive Financial Services Ltd,IFINSER,"Investment Banking & Brokerage","4.8571172","16.84","77.49999999999999","10.64","0.4260536398467432",,,,"11.816546762589928","0","19.08866995073891",,"0","495.8333333333291","10.64","1.5706214689265534"
Chemo Pharma Laboratories Ltd,CHEMOPH,"Pharmaceuticals","4.845","30.7",,"57.27272727272728","0.02642007926023778",,,,"0","0","0.6861063464837049",,"0","45.45454545454546","57.27272727272728","0.03510825043885313"
New Light Apparels Ltd,NEWLIGHT,,"4.8295097700000005","20.72","-3.727272727272728","0.9690844233055884","0.5095913261050876",,,,"389.4926350245499","148.31460674157304",,"0","16.85393258426966",,"1.347205707491082","1.8348348348348353"
Sybly Industries Ltd,SYBLY,"Textiles","4.825556131","5.47","-3.7796610169491527","0.9408602150537636","0.03470239402591698","2539.0456986338",,,"2933.8607594936702","74.70398277717976",,"0","36.81377825618945",,"1.1034946236559142","1.1366906474820124"
Tavernier Resources Ltd,TAVERNIER,"Precious Metals, Jewellery & Watches","4.819074","8.46","0.6129032258064514","1.0294117647058825","0.38834951456310685","-4.1834918066",,,"0","50.26642984014209","2.1590909090909087",,"50.26642984014209",,"1.0294117647058825","-135.9999999999999"
Mayur Floorings Ltd,MAYURFL,"Building Products - Granite","4.81764","9.5","1.8571428571428534","0.89375","0.4788069073783359",,,,"123.26229508196722","25.10917030567685","2.009273570324571","0","6.550218340611352","1.0582010582010448","1.3625","4.039735099337747"
G K Consultants Ltd,GKCONS,"Diversified Financials","4.8018672","9.04",,"9.500000000000002","0.0904109589041096",,,,"218.44696969696972","13.055954088952655",,,"13.055954088952655",,"14.250000000000002","0.4943820224719102"
K Z Leasing and Finance Ltd,KZLFIN,"Consumer Finance","4.7959724","15",,"0.326027397260274","0.07850241545893719",,,,"15.910256410256409","23.17477876106195","1.5240328253223918",,"4.148230088495578","3.7283621837549914","0.326027397260274","-0.7442748091603054"
Gretex Industries Ltd,GRETEX,"Apparel & Accessories","4.79094","51.85","13.571428571428548","1.3888888888888888","4.392307692307693",,,,"15.980735551663749","18.80733944954129","15.833333333333307","0","0","40.85365853658525","3.5555555555555554","6.058355437665783"
Ace Engitech Ltd,ACEENGITEC,,"4.773413","14.95",,"0.8444444444444444","0.25242718446601936",,,,"63.17307692307692","0",,,"0",,"0.8444444444444444","4.727272727272728"
Datiware Maritime Infra Ltd,DATIWARE,"0","4.74","9.48","-1.2127659574468088","0.09243697478991601","0.14047791455467054",,,,"22.57731958762887",,,"0",,,"0.45378151260504207","-2.3095238095238098"
Shyama Infosys Ltd,SHYAMAINFO,"IT Services & Consulting","4.730268","4.7","7.999999999999996","2.1249999999999996","0.11770726714431934",,,,"0","1.7801047120418847","1.6309887869520892",,"1.7801047120418847","38.46153846153872","2.1249999999999996","10.952380952380953"
Jik Industries Ltd,JIKIND,"Housewares","4.721661815","0.65",,"0.013953488372093023","0.011444643809708548",,,,"1.5466101694915255",,,"0",,,"0.014728682170542635","-0.09284028324154209"
Sungold Capital Ltd,SUNGOLD,"Diversified Financials","4.6744851899999995","2.49",,"91.83333333333333","0.08050089445438283",,,,"0","0","0.13458950201884168",,"0","7.99999999999976","91.83333333333333","0.08262565985770023"
Swagtam Trading and Services Ltd,SWAGTAM,"Real Estate","4.6369975","38.95",,"11.499999999999998","0.11241217798594849",,,,"0","0","4.608294930875575",,"0","749.9999999999998","11.499999999999998","0.8495575221238937"
Aditya Ispat Ltd,ADITYA,"Iron & Steel","4.62775","8.55","1.1380471380471378","0.753594249201278","1.1508235547421681",,,,"100.48596819457435","340.24856596558317","6.551657297925953","0","147.03632887189292","0.753707755895938","1.0411341853035143","32.19879518072289"
EPIC Energy Ltd,EPIC,"Electrical Components & Equipments","4.6225715","6.41",,"0.9947916666666667","0.1315345699831366","531.9191637442",,,"403.9957264957265","0",,"0","0",,"1.1145833333333335","3.6562500000000004"
Bansisons Tea Industries Ltd,BANSTEA,"Tea & Coffee","4.6209","7.3",,"4.5","0.025744167337087693",,,,"159.68750000000003","0","0.6430868167202572",,"0","14.285714285714372","4.5","1.1034482758620692"
Clio Infotech Ltd,CLIOINFO,"Consumer Finance","4.61358805","4.25","0.3617021276595745","2.0000000000000004","0.014531754574811628",,,,"0","71.30841121495328","0.9264305177111717",,"71.30841121495328",,"3.5000000000000004","1.8000000000000003"
Aravali Securities and Finance Ltd,ARAVALIS,"Investment Banking & Brokerage","4.6067704","3.18",,"0.5869565217391304","0.0888585099111415",,,,"0","3360.000000000032",,,"0",,"0.5869565217391304","-0.1699346405228758"
Worldwide Aluminium Ltd,WWALUM,,"4.60082","13.31",,"154.75","3.7888799355358582",,,,"92.22033177371331","0",,,"0",,"154.75","3.832110839445803"
Mahesh Developers Ltd,MAHESH,,"4.575504","11.02","1.2249999999999999","0.3350831146106737","0","10071.4644424705",,,,"275.8802816901408","1.4943580359865811",,"275.8802816901408","0.25820730357801536","0.3350831146106737","0"
52 Weeks Entertainment Ltd,SHAQUAK,"Movies & TV Serials","4.56928","1.27",,"4.77363184079602","0",,,,,"22.69013199245757",,"0","0",,"4.813432835820897","0"
Franklin Industries Ltd,FRANKLININD,"Investment Banking & Brokerage","4.5549","12.01",,"1.199192462987887","2.31864406779661",,,,"80.13279727095517","0","2.466960352422896",,"0","2.8112449799196613","1.199192462987887","14.400000000000006"
