Name,Ticker,"Sub-Sector","Market Cap","Close Price","% Away From 52W Low","% Away From 52W High","1Y Return","1Y Return vs Nifty","5Y CAGR","6M Return","6M Return vs Nifty","1M Return","1M Return vs Nifty","Face value"
Larsen & Toubro Ltd,LT,"Construction & Engineering","350570.928189495","2489.7","45.16354731502537","0.5743663895248607","43.090318687318586","22.15737637502834","14.404926248970785","10.655792350941132","-0.16924585426032124","4.521410579345081","-1.6563464131137495","2"
Asian Paints Ltd,ASIANPAINT,"Paints","336998.746641915","3526","31.28060018243759","1.6137266023823038","17.281178798915672","-3.6517635133745756","20.351465650572152","26.479661381734694","15.65462317653324","6.246421791665417","0.0686647992065863","1"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316502.17844787997","1155.8","31.04308390022674","4.049143450423953","25.98648354044037","5.053541228150124","18.263860627821195","4.332912077992417","-6.492126127209036","-1.099559320583591","-7.277316313042421","2"
Axis Bank Ltd,AXISBANK,"Private Banks","297007.80349685","977.9","39.29207321415855","1.2373453318335281","38.57163100467619","17.638688692385944","12.875438028835795","5.088388587394554","-5.7366496178069","0.3128686464584248","-5.864888346000406","2"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","290148.01","9772.5","21.00593730846143","2.706062931696085","11.697841479932116","-9.235100832358132","0.7825326625303219","15.790658546411061","4.965620341209608","2.9540354610676207","-3.2237215313912095","5"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","276307.771702375","2419.75","137.82495454322077","73.15838413059201","-1.2790175839419","-22.21195989623215","71.5312398431297","-29.98712440142934","-40.81216260663079","0.20498592015901182","-5.972771072299818","1"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","265949.6610204","2989.3","32.20556366370353","7.382999364399678","31.617647058823543","10.684704746533296","28.284391963819957","26.061653945093408","15.236615739891954","0.5144586415601944","-5.663298350898636","1"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","261539.22880419","1635.8","34.633744855967066","12.727717324856336","31.701622317942114","10.768680005651866","19.673789445527913","22.697269726972692","11.872231521771239","7.544130699188061","1.366373706729231","1"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","259572.05372945","1097.65","28.17024754787485","0.6240604928711146","26.530259365994244","5.597317053703996","14.40359235061841","6.531761052069704","-4.29327715313175","10.655779021120019","4.478022028661188","1"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","241151.91400477997","3678.8","11.749696233292827","25.28541915842122","-6.044005159049398","-26.976947471339646","19.31274683877895","4.697260761294918","-6.127777443906536","-7.727808573076825","-13.905565565535655","10"
