Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","Dividend Yield","Dividend Yield vs Sector","Dividend Yield vs Sub-sector","Enterprise Value","EV / Revenue Ratio","EV / Invested Capital","EV / Free Cash Flow","EV / EBIT Ratio","EV/EBITDA Ratio","Sector Dividend Yield","Sector PB","Sector PE","Price / Free Cash Flow","PB Premium vs Sub-sector","PB Premium vs Sector","PB Ratio","PE Premium vs Sub-sector","PE Premium vs Sector","Forward PE Ratio","Price / Sales","Price / CFO","PS Ratio","PS Premium vs Sub-sector","Forward PS Ratio","PS Premium vs Sector","TTM PE Ratio"
Datiware Maritime Infra Ltd,DATIWARE,"0","4.74","9.48","-4.5576923076923075",,,,"11.23","11.577319587628867",,,,,"0.12865195946162278","0.16749416915925164","-4.876571427072698",,,"-9228.868579363685","-15.290322580645181",,"6.539002332870722",,"4.88659793814433",,"4.88659793814433",,,"960.2616641984897","-4.601941747572815"
Shyama Infosys Ltd,SHYAMAINFO,"IT Services & Consulting","4.730268","4.7","47.30268000000003",,,,"4.800268","4.174146086956522","0.49385473251028805",,"30.001675000000017","30.001675000000017","2.5262844519982592","7.377084724764392","27.498384744157313",,"-93.44510114486884","-93.28574851147276","0.4953160209424083","76.20604112714994","72.01984931151496",,"4.11327652173913",,"4.11327652173913","2.813082398273577",,"10.64104019902418","39.418900000000015"
Jik Industries Ltd,JIKIND,"Housewares","4.721661815","0.65","-11.242051940476186",,,,"12.841661815","10.882764250000001",,,,,"0.5697770421302515","6.186206651823186","61.535634799751044",,"-102.8981346357542","-103.41654610294354","-0.21135460228290046","-121.68713900580983","-118.26917358870192",,"4.00140831779661",,"4.00140831779661","-29.221368784547334",,"153.72054584976976","-11.804154537499997"
Sungold Capital Ltd,SUNGOLD,"Diversified Financials","4.6744851899999995","2.49","233.7242595000022",,,,"4.6344851899999995","2.574713994444444","0.21027609754990928",,"154.48283966666762","115.86212975000053","1.027726730314729","2.485912822204302","16.437916381714356",,"-86.29344497965818","-91.46828570623356","0.21209097958257717","3606.541948667595","1321.8606182958722",,"2.5969362166666663",,"2.5969362166666663","76.53875144846316",,"34.69677185200175","77.90808649999992"
Swagtam Trading and Services Ltd,SWAGTAM,"Real Estate","4.6369975","38.95","30.91331666666667",,,,"4.5169974999999996","9.410411458333332","1.0456012731481479","6.741787313432835","22.584987500000004","22.584987500000004","1.1853664126862586","2.9444479811062116","53.76915078309117","6.920891791044776","-63.54566092478008","-63.54566092478008","1.0733790509259258","-42.50733698329488","-42.50733698329488",,"9.660411458333334","6.920891791044776","9.660411458333334","12.200137016739484",,"12.200137016739484","33.12141071428572"
Aditya Ispat Ltd,ADITYA,"Iron & Steel","4.62775","8.55","14.928225806451648","8.670520231213873","5.388115560698811","7.570019645439977","40.10775","0.750378858746492","0.8709609120521172",,"11.866198224852074","8.700162689804774","3.2824046705150622","2.903924990739655","20.86185049719418",,"-78.12132116304807","-84.76463684236738","0.44242351816443587","-37.969978786242486","-28.442465789602775",,"0.08658091674462114",,"0.08658091674462114","-90.55907630474778",,"-94.37140211327014","14.92822580645154"
EPIC Energy Ltd,EPIC,"Electrical Components & Equipments","4.6225715","6.41","-10.505844318181817",,,,"4.5525715","3.8910867521367525","0.6685127019089575",,,,"0.5493648022104091","5.613936989607899","43.5011349669085",,"-91.52621762527801","-87.90881150547442","0.6787917033773861","-120.06155653048974","-124.15073612716922",,"3.9509158119658125",,"3.9509158119658125","5.940556449337249",,"37.18800938955179","-10.750166279069767"
Bansisons Tea Industries Ltd,BANSTEA,"Tea & Coffee","4.6209","7.3","231.04500000000007",,,,"4.5409","28.380625","0.7468585526315789",,"113.52250000000001","75.68166666666666","1.5002425293577015","9.868011363647765","48.382149760088126",,"-79.20806366893731","-92.29818025779535","0.7600164473684209","-86.26608207524706","377.5418230601154",,"28.880625",,"28.880625","951.1083558055996",,"462.46019518981205","-462.08999999999907"
Clio Infotech Ltd,CLIOINFO,"Consumer Finance","4.61358805","4.25","-15.378626833333335",,,,"12.22358805","45.27254833333333","0.6668624140752865",,"71.90345911764706","71.90345911764706","1.027726730314729","2.485912822204302","16.437916381714356",,"-90.27335047461807","-82.6552061914747","0.43117645327102805","-157.71861450056326","-193.55581617656006",,"17.087363148148146",,"17.087363148148146","179.92588292326474",,"786.2800097850229","-15.908924310344824"
Aravali Securities and Finance Ltd,ARAVALIS,"Investment Banking & Brokerage","4.6067704","3.18","-14.396157500000001",,,,"8.696770400000002","13.379646769230773","1.6756783044316002","2.734833459119497",,,"1.027726730314729","2.485912822204302","16.437916381714356","1.4486699371069183","881.3010831432213","1135.4336158672802","30.71180266666696","-228.42152996760322","-187.57896783082788",,"7.087339076923077","1.4486699371069183","7.087339076923077","130.04966253759608",,"267.60305800172017","-14.86054967741935"
Worldwide Aluminium Ltd,WWALUM,,"4.60082","13.31",,,,,"4.56082","0.19399489578902593","0.7403928571428571",,,,"0.12865195946162278","0.16749416915925164","-4.876571427072698",,"345.9178294894744","345.9178294894744","0.7468863636363635",,,,"0.19569629944704378",,"0.19569629944704378","-57.46873636610107",,"-57.53911274149108","-65.72599999999453"
Mahesh Developers Ltd,MAHESH,,"4.575504","11.02","65.36434285714289",,,,"19.695504",,"0.9225060421545667","16.833764102564103","40.19490612244898","40.19490612244898","0.12865195946162278","0.16749416915925164","-4.876571427072698","3.910687179487179","380.9400129668601","380.9400129668601","0.8055464788732394","1452.9357607270379","1440.3749711173557",,,"3.5746124999999997",,,,,"65.36434285714277"
52 Weeks Entertainment Ltd,SHAQUAK,"Movies & TV Serials","4.56928","1.27","-28.558",,,,"8.16928",,"0.41850819672131145",,,,"0.4368719987649118","8.32800735283555","-63.38947359875708",,"-90.94914611644991","-96.55145027643947","0.2871954745443117","-126.82458869774092","54.94835596716494",,,,,,,,"-26.878117647058826"
Franklin Industries Ltd,FRANKLININD,"Investment Banking & Brokerage","4.5549","12.01","21.690000000000136",,,,"4.5349","0.22099902534113064","1.1687886597938146",,"16.196071428571507","14.628709677419417","1.027726730314729","2.485912822204302","16.437916381714356",,"-62.49025681330681","-52.776167833266314","1.1739432989690721","93.48655952099236","31.95103014472219",,"0.22197368421052632",,"0.22197368421052632","-92.79490220650936",,"-88.48676432352622","19.803913043478506"
Vasa Retail and Overseas Ltd,VASA,"Textiles","4.554338","7.95","-0.3634747007182762",,,,"26.914338000000004",,,,,,"0.5697770421302515","6.186206651823186","61.535634799751044",,"-105.390626727822","-111.61212165551538","-0.7183498422712938","-100.7337488583353","-100.59067352096244",,,,,,,,
Shantai Industries Ltd,SHANTAI,,"4.554","28.85","-50.60000000000003",,,,"3.8840000000000003","6.264516129032259","0.5164893617021278","48.550000000000004",,,"0.12865195946162278","0.16749416915925164","-4.876571427072698","56.925000000000004","261.55593321412584","261.55593321412584","0.6055851063829788","-947.3378374262527","-937.6142492056993",,"7.345161290322581","56.925000000000004","7.345161290322581","1496.3459306840668",,"1493.704461071568","-50.600000000000094"
First Fintec Ltd,FIRSTFIN,,"4.53560118","4.18","-2.7488492000000004",,,,"4.90560118","0.8414410257289879","0.37677428417818737",,,"15.824519935483844","0.12865195946162278","0.16749416915925164","-4.876571427072698",,"116.80671459014138","116.80671459014138","0.3631386052842273","43.10328504863867","43.63151978581649",,"0.7779761886792452",,"0.7779761886792452","69.07989816417918",,"68.80012208024874","-2.7322898674698797"
Starlite Components Ltd,STARLITE,"Electrical Components & Equipments","4.5315","2.65","-7.0804687500000005",,,,"9.051499999999999","4.190509259259258",,,,,"0.5493648022104091","5.613936989607899","43.5011349669085",,"-105.60094607363385","-107.99195586211899","-0.44866336633663384","-113.52059099568629","-116.2765149814738",,"2.097916666666667",,"2.097916666666667","-43.74609087394833",,"-27.1538486106182","-6.6639705882352995"
Rajkot Investment Trust Ltd,RAJKOTINV,"Investment Banking & Brokerage","4.515","47.4","150.50000000000014",,,,"11.924999999999999","49.6875","0.9464285714285714","28.392857142857142","198.75000000000009","198.75000000000009","1.027726730314729","2.485912822204302","16.437916381714356","10.75","-67.94157290472876","-59.63923898008374","1.003333333333334","1242.5415955698109","815.5661612162555",,"18.8125","10.75","18.8125","510.63951216616795",,"875.75866677169","150.5"
Epsom Properties Ltd,EPSOMPRO,"Real Estate","4.5014912","6.04","-14.067160000000001",,,,"5.0914912",,,,,,"1.1853664126862586","2.9444479811062116","53.76915078309117",,"-363.58732685853425","-363.58732685853425","-7.761191724137943","-126.16213906138854","-126.16213906138854",,,,,,,,"-14.067160000000001"
Amerise Biosciences Ltd,AMERISE,,"4.492692","0.65","-37.439099999999996",,,,"4.562692","456.2692","0.7976734265734265","76.04486666666668",,,"0.12865195946162278","0.16749416915925164","-4.876571427072698","74.8782","375.5846724355547","375.5846724355547","0.7965765957446808","-674.9285776518811","-667.7340639809697",,"449.26919999999996","74.8782","449.26919999999996","97541.02255271089",,"97379.45619729332","-37.439099999999996"
V B Desai Financial Services Ltd,VBDESAI,"Investment Banking & Brokerage","4.4826111","9.41","14.460035806451625",,,,"4.2726111","1.542458880866426","0.39893661064425767","9.710479772727272","9.710479772727279","9.49469133333334","1.027726730314729","2.485912822204302","16.437916381714356","10.1877525","-86.6267008062943","-83.16334949306943","0.41854445378151256","28.991359093622204","-12.03242874177738",,"1.618271155234657","10.1877525","1.618271155234657","-47.472143054614115",,"-16.06420704814079","12.451697500000016"
