Name,Ticker,"Sub-Sector","Market Cap","% Away From 52W High","5Y Avg Return on Investment","5Y Avg Cash Flow Margin","5Y Avg Net Profit Margin","5Y Avg Return on Equity","5Y Avg Return on Assets","EBITDA Margin","Cost of Goods Sold","Return on Investment","5Y Avg EBITDA Margin","Cash Flow Margin","Net Profit Margin","ROCE","Return on Equity","Return on Assets"
Man Industries India Ltd,MANINDS,"Building Products - Pipes","851.0592588","12.792729814750082","12.504235873564616","8.802598390244102","3.6380039323293154","10.14539168658159","4.441258527039188","7.783698093266996",,"13.899092210222904","9.61574345210181","20.726107799293104","2.9944075036329307","13.451735080356253","11.431240363296691","5.633701259082595"
Capital India Finance Ltd,CIFL,"Diversified Financials","846.21515436","13.960113960113961","1.3076333394173936","-168.42567289066915","3.3380513585643237","2.1522712436296545","1.3660411963886967","-9.233719974426881",,"-0.19074279911626","10.442756739281435","-58.90920708902628","-6.3278229366456555","-5.892050353509223","-0.43084075939555877","-0.20825061988267868"
Kopran Ltd,KOPRAN,"Pharmaceuticals","839.8287391","21.45031829504567","14.131855920361673","5.7056825968227844","8.398232175893364","17.499690721965976","9.3120348433173","9.901633426586042",,"13.209242875117345","15.243393649247963","-6.85896910595755","4.916523779442282","9.176608900113202","18.182359952324212","11.619869176497483"
Global Surfaces Ltd,GSLSU,"Building Products - Ceramics","837.88854186","18.19583654587509",,"0",,,,"21.173412961734122",,"18.08301321090602",,"14.212251071338544","13.398584383985842","15.403501280956444","30.663339929450224","18.02412319518547"
KP ENERGY Ltd,KPEL,"Renewable Energy","833.06925","6.578064169687203","12.712257628118312","-2.680556607556146","7.8266065986864195","14.753677222475734","4.532360021365206","17.082212527407943",,"16.902130151526247","18.909269145414754","10.687834856602583","9.923370781437194","35.83868010999084","18.6357421380463","6.063002504283647"
HP Adhesives Ltd,HPAL,"Diversified Chemicals","832.293224365","6.705604852296987",,"0",,,,"8.714449201034205",,"5.869523381871836",,"-6.0980708355730755","4.603060229729158","11.825754472210845","8.02720181345424","4.221302853937317"
Yuken India Ltd,YUKEN,"Industrial Machinery","823.355","5.81376903553299","14.77110562740969","3.1811228958626745","7.019766214070989","26.026420965102727","9.314298893102082","10.147455208498503",,"7.291047241493228","14.916812799380773","0.6263234811655581","2.534221235664087","12.146015617649839","7.4264805529204505","2.9528089403295503"
SMS Pharmaceuticals Ltd,SMSPHARMA,"Pharmaceuticals","819.85491055","3.937007874015741","10.598162862861194","10.122319528202203","7.531954253049302","13.002975784045358","7.1172052633344425","11.270732910767837",,"11.093994956035726","19.292687438787176","7.661835564781836","-1.34170873344213","4.111365830115837","14.12774460162123","7.443874834750052"
Associated Alcohols & Breweries Ltd,ASALCBR,"Alcoholic Beverages","818.264592","17.91527313266443","18.89053357446776","9.678201166817884","9.488422590579653","22.165922570171432","15.477264971821949","10.04168779223705","303.9","9.273923832128592","16.042939260432266","0.9520590389273844","5.853191369500304","12.943209988855772","12.291494144090843","8.859895966572855"
Hexa Tradex Ltd,HEXATRADEX,"Commodities Trading","818.17406624","15.724982981620151","-1.8134108024646","357.72733041399516","-1845.0677199337654","-1.828117202006976","-1.6849088244877612","-614.0186915887849",,"0.7439568834409144","-1773.69466785437","-109.4853683148335","-2392.5233644859813","-0.1946330959085638","-1.4048251960025573","-1.0177445075315126"
