Name,Ticker,"Sub-Sector","Market Cap","ROCE","Interest Coverage Ratio","Quick Ratio","Cash Conversion Cycle","Asset Turnover Ratio","Days of Inventory Outstanding","Days Payable Outstanding","Days of Sales Outstanding","Earning Power","Debt to Equity","Inventory Turnover Ratio","Long Term Debt to Equity","Net Income / Liabilities","Current Ratio","Working Capital Turnover Ratio"
Shantai Industries Ltd,SHANTAI,,"4.7775","-1.0457516339869275","-7.999999999999996","53.800000000000004",,"0.08031088082901554",,,"1239.233870967742",,"0","0","0",,"153","0.08174027686222807"
Swagtam Trading and Services Ltd,SWAGTAM,"Real Estate","4.762","4.629629629629628",,"11.499999999999998",,"0.11241217798594849",,,"0","4.608294930875575","0",,"0","749.9999999999998","11.499999999999998","0.8495575221238937"
Neo Infracon Ltd,NEOINFRA,"Real Estate","4.749586","4.636785162287483","0.8219178082191788","0.2519893899204244","1559.902881434","0.19707486365889934",,,"272.7169811320755","1.6872890888638934","226.7628205128205","0","66.34615384615384",,"1.3377541998231655","0.891255605381166"
Datiware Maritime Infra Ltd,DATIWARE,,"4.74","-10.017574692442885","-1.2127659574468088","0.09243697478991601",,"0.14047791455467054",,,"22.57731958762887",,,"0",,,"0.45378151260504207","-2.3095238095238098"
Shyama Infosys Ltd,SHYAMAINFO,"IT Services & Consulting","4.730268","1.6443987667009243","7.999999999999996","2.1249999999999996",,"0.11770726714431934",,,"0","1.6309887869520892","1.7801047120418847",,"1.7801047120418847","38.46153846153872","2.1249999999999996","10.952380952380953"
Jik Industries Ltd,JIKIND,"Housewares","4.721661815","-0.465786847066652",,"0.013953488372093023",,"0.011444643809708548",,,"1.5466101694915255",,,"0",,,"0.014728682170542635","-0.09284028324154209"
Sri Adhikari Brothers Television Network Ltd,SABTN,"TV Channels & Broadcasters","4.7175075","31.994584837545137",,"0.010869565217391308",,"0",,,,,,"0",,,"0.024443999198557404","0"
Space Incubatrics Technologies Ltd,SPACEINCUBA,"IT Services & Consulting","4.67223876","-15.324222157603955","-527","91.42857142857144",,"0.016393442622950824",,,"16079.553571428572",,"0.7309941520467835",,"0.49707602339181284",,"91.42857142857144","0.0225851986287558"
Tavernier Resources Ltd,TAVERNIER,"Precious Metals, Jewellery & Watches","4.66362","2.2458628841607564","0.6129032258064514","1.0294117647058825","-4.1834918066","0.38834951456310685",,,"0","2.1590909090909087","50.26642984014209",,"50.26642984014209",,"1.0294117647058825","-135.9999999999999"
Clio Infotech Ltd,CLIOINFO,"Consumer Finance","4.624599","0.9274413529732678","0.3617021276595745","2.0000000000000004",,"0.014531754574811628",,,"0","0.9264305177111717","71.30841121495328",,"71.30841121495328",,"3.5000000000000004","1.8000000000000003"
Bansisons Tea Industries Ltd,BANSTEA,"Tea & Coffee","4.6209","0.6472491909385114",,"4.5",,"0.025744167337087693",,,"159.68750000000003","0.6430868167202572","0",,"0","14.285714285714372","4.5","1.1034482758620692"
CDG Petchem Ltd,CDG,,"4.61625","11.55279503105591","0.6888888888888894","0.9864864864864864",,"1.83485254691689",,,"110.00487044613287","3.4078417002565065","859.4059405940594","0","283.66336633663366",,"1.064968814968815","21.889125799573556"
Garware Marine Industries Ltd,GARWAMAR,"Shipbuilding","4.6129472","1.0647737355811882",,"22.904761904761905","1287.8210024032","0.1372767857142857",,,"1293.821138211382","1.0452961672473857","0",,"0","41.379310344827296","22.904761904761905","0.2530864197530864"
Aditya Ispat Ltd,ADITYA,"Iron & Steel","4.601","12.730696798493405","1.1380471380471378","0.753594249201278",,"1.1508235547421681",,,"100.48596819457435","6.551657297925953","340.24856596558317","0","147.03632887189292","0.753707755895938","1.0411341853035143","32.19879518072289"
Innovative Tyres & Tubes Ltd,INNOVATIVE,"Tires & Rubber","4.587848054999999","-356.71902268760914","-681.3333333333334","0.039791096742103946",,"0.014435138368906556",,,"1551.7379679144383",,"431.68771526980476","0","0.11481056257174523",,"0.07149962695846802","-0.04078961718835205"
Franklin Industries Ltd,FRANKLININD,"Investment Banking & Brokerage","4.587435","7.142857142857112",,"1.199192462987887",,"2.31864406779661",,,"80.13279727095517","2.466960352422896","0",,"0","2.8112449799196613","1.199192462987887","14.400000000000006"
G K Consultants Ltd,GKCONS,"Diversified Financials","4.5522126","-2.544529262086515",,"9.500000000000002",,"0.0904109589041096",,,"218.44696969696972",,"13.055954088952655",,"13.055954088952655",,"14.250000000000002","0.4943820224719102"
New Light Apparels Ltd,NEWLIGHT,,"4.54399987","-13.141025641025655","-3.727272727272728","0.9690844233055884",,"0.5095913261050876",,,"389.4926350245499",,"148.31460674157304","0","16.85393258426966",,"1.347205707491082","1.8348348348348353"
Servoteach Industries Ltd,SERVOTEACH,"Industrial Machinery","4.537995","200.00000000000006",,"1.5999999999999999",,"2.580645161290323",,,"0","137.50000000000003",,,,"40.00000000000002","1.5999999999999999","26.666666666666682"
Kiran Print Pack Ltd,KIRANPR,"Stationery","4.5276245","-6.779661016949151",,"14.210526315789476",,"0.4012738853503185",,,"21.726190476190474",,"0",,"0",,"14.210526315789476","0.5080645161290323"
Infra Industries Ltd,INFRAIND,"Plastic Products","4.4454433","-4.784688995215322","0.16393442622950863","0.21084953940634593",,"0.44000000000000006","442.112676056338","466.53169014084506","158.16666666666669","1.3020833333333368",,"0.8255813953488372",,,"0.4094165813715455","-0.5929919137466307"
Mahesh Developers Ltd,MAHESH,,"4.430184","2.2940074906367043","1.2249999999999999","0.3350831146106737","10071.4644424705","0",,,,"1.4943580359865811","275.8802816901408",,"275.8802816901408","0.25820730357801536","0.3350831146106737","0"
Ind Renewable Energy Ltd,INDRENEW,"Renewable Energy Equipment & Services","4.4199456","-1.875",,"22.266666666666666",,"0",,,,,"4.0625",,"0",,"22.266666666666666","0"
Sungold Capital Ltd,SUNGOLD,"Diversified Financials","4.4168364","0.13605442176870663",,"91.83333333333333",,"0.08050089445438283",,,"0","0.13458950201884168","0",,"0","7.99999999999976","91.83333333333333","0.08262565985770023"
Gujarat Cotex Ltd,GUJCOTEX,"Textiles","4.41564","0.45941807044410843","3.0000000000000284","1.2925890279114534","83.4416787552","1.1426611796982167",,,"240.1200480192077","0.17730496453900876","12.732919254658384","0","1.5527950310559004","0.09541984732824693","1.3676612127045236","4.773638968481376"
