Name,Ticker,"Sub-Sector","Market Cap","Close Price","Value Momentum Rank","Price to Intrinsic Value Rank","Price Momentum Rank","Fundamental Score","Earnings Quality Rank"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","82987.67513415","7469","83","79","66","8.65","55"
SBI Cards and Payment Services Ltd,SBICARD,"Payment Infrastructure","81931.125570925","853.45","16","44","27","5.99347826086956","7"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","80498.68907776999","547.75","5","5","34","5.65714285714286","24"
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","79936.80742425","873.1","29","14","18","6.21791044776119","48"
Mankind Pharma Ltd,MANKIND,"Pharmaceuticals","75242.5266852","1888.6","26","22",,,"52"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","74417.18707691999","5195.45","20","16","52","5.37692307692308","82"
GAIL (India) Ltd,GAIL,"Gas Distribution","71997.34109085","110.45","92","97","89","4.25","57"
Punjab National Bank,PNB,"Public Banks","70635.66480457","63.85","95","97","80","5.59838709677419","31"
United Spirits Ltd,MCDOWELL-N,"Alcoholic Beverages","70622.131072035","975.05","21","7","14","2.9125","65"
Adani Total Gas Ltd,ATGL,"Gas Distribution","70514.323471545","640.05","1","1","13","5.41666666666667","19"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","70137.70305665","218.15","46","66","32",,"46"
Marico Ltd,MARICO,"FMCG - Personal Products","68703.93273579","539.15","28","26","30","6.29179104477612","87"
Macrotech Developers Ltd,LODHA,"Real Estate","67279.25890719","685","41","41","45","5.3375","86"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","67120.181551685","1398.7","34","38","34","8.15","60"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","66970.64617185","1782.85","95","92","60","4.97608695652174","10"
SRF Ltd,SRF,"Diversified Chemicals","66436.213903125","2242.6","18","35","35","5.84444444444444","38"
Berger Paints India Ltd,BERGEPAINT,"Paints","66401.583962175","684.5","30","9","43","5.12767857142857","28"
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","65189.17354092","96.7","85","56","65","2.86440677966102","14"
Zomato Ltd,ZOMATO,"Online Services","65145.653052434995","77.65","33",,"21","4.66666666666667","1"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","65135.5171552","1930.35","50","40","49","3.31285714285714","83"
Polycab India Ltd,POLYCAB,"Electrical Components & Equipments","64595.13287773001","4717.35","63","17","92","6.44428571428571","87"
Jindal Steel And Power Ltd,JINDALSTEL,"Iron & Steel","64326.79601835","637.35","84",,"93","6.10074626865672","96"
CG Power and Industrial Solutions Ltd,CGPOWER,"Heavy Electrical Equipments","63746.67177756","412.3","49","3","92","2.82142857142857","69"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","63381.37187874","1345.15","63","47","88","4.975","12"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","61883.96578591","3087.15","72","81","61","5.51666666666667","71"
IDBI Bank Ltd,IDBI,"Public Banks","61826.31250625","57.3","96","81","82","4.64677419354839","46"
Tube Investments of India Ltd,TIINDIA,"Cycles","61731.36186121999","3164.85","42","9","77","5.75508474576271","79"
Zydus Lifesciences Ltd,ZYDUSLIFE,"Pharmaceuticals","61491.40144425","607.5","74","52","72",,"78"
Canara Bank Ltd,CANBK,"Public Banks","61399.238378940005","340","99","100","85","5.59838709677419","17"
Trent Ltd,TRENT,"Retail - Apparel","61017.645243344996","1716.45","37","1","50","7.15","62"
Info Edge (India) Ltd,NAUKRI,"Online Services","60371.3011055","4652.75","5",,"5","6.1","13"
Power Finance Corporation Ltd,PFC,"Specialized Finance","59771.44307712","226.2","100","99","100","6.66363636363636","26"
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","59407.020884115","609.25","52","16","84","6.05","36"
Union Bank of India Ltd,UNIONBANK,"Public Banks","58129.527198330004","86.9","100","99","78","5.25161290322581","42"
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines","56851.52368855","398.6","48",,"51","4.67777777777778","81"
Bosch Ltd,BOSCHLTD,"Auto Parts","56336.3916368","19058.4","44","45","97","4.79915254237288","82"
PI Industries Ltd,PIIND,"Diversified Chemicals","55300.13840197","3644.95","55","25","60","6.00441176470588","41"
IDFC First Bank Ltd,IDFCFIRSTB,"Private Banks","54218.547688520004","81.4","86","79","89","2.60645161290322","16"
Cummins India Ltd,CUMMINSIND,"Industrial Machinery","53804.52","1916.8","75","32","98","6.14642857142857","91"
One 97 Communications Ltd,PAYTM,"Business Support Services","53421.218169","851.35","62",,"68","3.01428571428572","2"
Adani Wilmar Ltd,AWL,"FMCG - Foods","52162.600811675","401.4","6","6","4","5.44402985074627","17"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","51897.305384025","1294.5","88","81","51","7.21739130434783","37"
Procter & Gamble Hygiene and Health Care Ltd,PGHH,"FMCG - Personal Products","51783.15140768","15986.45","11","11","13","5.88888888888889","96"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","51405.5854788","2520.15","43","44","38",,"76"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","51316.825567575","772.35","31","38","70","6","88"
Astral Ltd,ASTRAL,"Building Products - Pipes","51271.36407317","1888.7","26","3","46","7.13095238095238","88"
Ashok Leyland Ltd,ASHOKLEY,"Trucks & Buses","50853.72442032","175.7","63","38","55","2.72857142857143","25"
Yes Bank Ltd,YESBANK,"Private Banks","50178.64438383","17.45","79",,"48","0.666129032258065","5"
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,"Online Services","50040","625.15","38","29","14","6.3","100"
