Name,Ticker,"Sub-Sector","Market Cap","Promoter Holding","Promoter Holding Change – 6M ","Domestic Institutional Holding","DII Holding Change – 6M","Foreign Institutional Holding","FII Holding Change – 6M","Retail Investor Holding","Pledged Promoter Holdings"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","316502.17844787997","60.81447240606731","0.09939638476301837","15.313407561328637","-1.2248949971385859","18.92098268709869","1.7477048317387514","3.4265422854523093","0"
Axis Bank Ltd,AXISBANK,"Private Banks","297007.80349685","7.958154764838264","-1.7275114291778895","31.22958297157127","-1.0264728776635081","47.860610950956584","1.7420296383566836","4.587566007383264","0"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","290148.01","56.4846822395361","0.11427434170927597","18.70406077117437","0.544920111575717","21.106637094815195","-0.7383767733626634","3.1346964774834856","0"
Adani Enterprises Ltd,ADANIENT,"Commodities Trading","276307.771702375","67.65330654442401","-4.973781775781248","5.462642347699937","0.008731745799748225","19.339228088355537","3.9467950663532694","3.1725935469496784","0.34041203368255285"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","265949.6610204","52.89583698849282","0","11.405555026899721","-0.49171041368790824","17.51468044962539","0.47231835648350184","9.672237287411644","0"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","261539.22880419","60.77698969596892","0.03075466130897553","7.099451119089465","-0.17909105427693373","7.033717829433926","-0.17740485768514525","8.672316816914874","0.0063007926856762176"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","259572.05372945","54.47903487190035","0","19.244651487741205","-0.46379964194828815","16.890813248972904","0.8938331357709544","4.738593586205264","0.9723527682339411"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","241151.91400477997","74.93045618524249","-0.05659760812653758","7.5254192205015595","0.45944386889585687","8.175404896552806","-0.545234514782269","4.032822104454492","0"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","240105.61185072002","59.95542082186118","-0.0029932855470349296","17.02915494669483","-0.37609206774214243","15.295381567146862","0.7206871856186083","5.47275209709001","0"
Tata Motors Ltd,TATAMOTORS,"Four Wheelers","223690.46455948","46.39341357659447","-0.0023618882427598464","17.777530759325895","2.948877411697847","16.908572344422616","2.77456945348694","14.264798636919403","0.8449139039506239"
Nestle India Ltd,NESTLEIND,"FMCG - Foods","221186.81199702","62.76474573916975","0","9.051222520610644","-0.004279385323446405","12.375660831062023","0.2584132653228437","9.195804758634992","0"
Wipro Ltd,WIPRO,"IT Services & Consulting","217743.32209097","72.96972179842463","0.03144304255617669","7.694868454592087","-0.14943475660862937","8.847331575137034","0.18179502940155956","5.275867798390804","0"
Oil and Natural Gas Corporation Ltd,ONGC,"Oil & Gas - Exploration & Production","209776.15576005","58.892707957279974","0","19.88446186319086","1.3535762220506662","7.973568794256855","-0.9884268382588397","2.424491102347955","0"
JSW Steel Ltd,JSWSTEEL,"Iron & Steel","190441.81296729","45.40325043751492","0.2119169569822148","9.597086933453202","0.2538636898172175","25.985124550742256","-0.05156923131098878","3.610641030323242","6.824050478408167"
NTPC Ltd,NTPC,"Power Generation","186709.30641017","51.103608008372824","0","30.203799177231733","-0.30450235773787426","15.789232575840275","0.12346070117876273","1.8047989956709796","0"
Mahindra and Mahindra Ltd,M&M,"Four Wheelers","184846.02855138","18.884141818501995","-0.5006701546675849","26.95567248975187","-1.5545789035873163","38.24904386153312","-0.02220989570257359","6.772677150739901","0.011258283403643899"
Power Grid Corporation of India Ltd,POWERGRID,"Power Transmission & Distribution","169677.8909168","51.33950841360026","0","13.39405927064408","-0.41755810795197235","32.291984748762545","0.6005817230334927","2.3885935902440645","0"
Adani Ports and Special Economic Zone Ltd,ADANIPORTS,"Ports","157992.5624373","61.02915602033183","-4.989284622375983","13.033646546287327","-2.3334744430276135","17.98947780185501","3.643322979584326","4.097450407293128","2.8425652961874635"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","155179.74170727","57.26381129162681","-3.487933534655717","1.4425692223717146","0.17650749203893534","17.130865103385844","1.883085884555964","2.330697855804949","2.00194758885493"
Tata Motors Ltd,TATAMTRDVR,"Four Wheelers","151860.114896325","7.670152580605952","0","32.42391838806755","1.4122419078612296","16.75123557211757","-0.31623654705793314","26.865466661963712","0"
LTIMindtree Ltd,LTIM,"IT Services & Consulting","147659.0806827","68.67938962874796","-5.323884170218605","11.671028213821222","3.547882953029058","8.410742771096745","0.276013831936055","7.292794379434858","0"
Tata Steel Ltd,TATASTEEL,"Iron & Steel","142625.33679","33.90403989285472","0.00531521739823404","21.11022803432989","1.331062321805753","21.011728508451924","-1.5798841743567884","18.1352895220953","0.5253021776229946"
HDFC Life Insurance Company Ltd,HDFCLIFE,"Insurance","141639.04678791002","50.314329587711384","-0.00682621496393665","6.620231184076589","-0.2478138495256852","29.85133644969265","1.043361513377775","5.682154405216916","0"
Coal India Ltd,COALINDIA,"Mining - Coal","140879.96955521998","63.13345342441865","-3.0001539121878693","22.295786607696748","1.116407852972678","9.303079100342112","1.4471917350186985","3.3554439694190337","0"
Indian Oil Corporation Ltd,IOC,"Oil & Gas - Refining & Marketing","138741.167112975","51.498314593674124","0","12.063989182782144","0.6832123173853244","6.910235579442806","-0.31304719742723197","4.836922311447393","0"
Hindustan Zinc Ltd,HINDZINC,"Mining - Diversified","136583.436675","64.92182744072105","0","2.9536679005774475","-0.07242137220882006","0.8148385482847567","-0.05941662629496136","1.520710838637272","64.51487217888165"
Pidilite Industries Ltd,PIDILITIND,"Diversified Chemicals","136568.547274575","69.93813334837914","-0.003218487976212714","8.472752602799401","0.7244385447042578","10.609689392136644","-0.7277341850712169","9.000185593856273","0"
Bajaj Auto Ltd,BAJAJ-AUTO,"Two Wheelers","136488.72599166998","54.98365905720678","0.1400183083695694","10.856606174560055","-0.749437867475077","12.354468619260999","0.7924742477273874","5.685751419830545","0.0048848349792692085"
Siemens Ltd,SIEMENS,"Conglomerates","132088.46","74.99992186628081","0","8.481380538155573","-1.052391979220614","7.008221983891369","0.9812295006921197","7.4133137976103045","0"
SBI Life Insurance Company Ltd,SBILIFE,"Insurance","131171.542949025","55.44645840467381","-0.007448806737222924","14.152563347965854","-0.7895423082916171","26.220090500708444","1.131996898317908","1.751936151614874","0"
Hindustan Aeronautics Ltd,HAL,"Aerospace & Defense Equipments","129103.669875","71.63880587641583","-3.511254158723048","10.639002654106388","-2.08506837127584","11.906730365219993","4.771802773728085","4.482705244663751","0"
DLF Ltd,DLF,"Real Estate","124013.1164706","74.94930276873987","0","4.871388427878263","-0.2212926956521244","15.302771731003967","0.4619526491262853","2.074895815161632","0"
Britannia Industries Ltd,BRITANNIA,"FMCG - Foods","122021.47007063999","50.54749588131765","0","14.352294832525406","-1.901376011727173","19.4421809668135","2.257617582016689","11.30867883085784","0"
Tech Mahindra Ltd,TECHM,"IT Services & Consulting","121326.71602338001","35.17940977057914","-0.03571860407356553","25.847103283822605","2.0366160193518503","26.871062515457428","-1.3330218308480184","8.364423466785663","0"
Grasim Industries Ltd,GRASIM,"Cement","117121.48936158001","42.74772021072374","-0.0033886262259912314","16.81833641270414","-0.05162452122079486","16.32829015393456","0.419078272969827","7.977720698275892","0"
Indusind Bank Ltd,INDUSINDBK,"Private Banks","110160.331195365","13.998260714229257","-2.5083367130195064","22.672633458736968","-2.40512843023026","35.931667881365534","-8.855069948868575","4.838716937847686","6.365883502307022"
Godrej Consumer Products Ltd,GODREJCP,"FMCG - Personal Products","106759.97900996999","63.21416120925274","-0.0037313995696308666","7.118823242720664","0.6474446983882158","23.721283918110203","-0.7065906643969768","4.176237658301277","0.4169052038233737"
Varun Beverages Ltd,VBL,"Soft Drinks","106509.70398486","63.615704528952044","-0.2822891301005228","3.162410705801782","-0.279090037436279","26.710163205362882","0.2536960304609899","3.2485095122523524","0.02434571008073212"
Vedanta Ltd,VEDL,"Metals - Diversified","105355.700350395","68.11163508864433","-1.5738975347810538","9.980901196910963","-1.0619575172252738","7.4803974308082495","-0.41921690028218705","10.048486497227145","68.10731313313067"
Interglobe Aviation Ltd,INDIGO,"Airlines","104116.99408495","67.8639973374563","-4.067189336428825","10.496293476196017","2.668564741067555","19.43444372797628","1.3783807365563199","1.0139534210319658","0"
Bank of Baroda Ltd,BANKBARODA,"Public Banks","103427.24358","63.97124344595242","0","16.03464716447972","-1.9143943234535534","12.292940196328106","2.324027013386253","6.092096977452872","0"
Dabur India Ltd,DABUR,"FMCG - Personal Products","101812.25202230501","66.23571395645396","-0.999907739377548","8.43479764858725","1.7523151724727066","19.730415549420087","-0.5124470723367409","3.780738533165734","0"
Hindalco Industries Ltd,HINDALCO,"Metals - Aluminium","98317.16439984","34.641615025073584","-0.00030023476654150727","26.23067080770845","-0.6224689669008967","29.857753639967942","1.308807301491921","4.713837987465603","0"
Divi's Laboratories Ltd,DIVISLAB,"Labs & Life Sciences Services","96578.7967469","51.93955533268758","-0.004143616543991868","21.072534836326014","0.29570128412183294","14.674970951364564","-0.7290482361415425","9.228289087921441","0"
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,"Consumer Finance","96234.24613130999","51.47272015438619","-0.031229767346161452","21.467346184644008","-0.44668529150587233","19.6282696855822","0.937196039362469","5.35611149484734","0"
ABB India Ltd,ABB,"Heavy Electrical Equipments","95221.02830625","74.99999988202448","0","8.062681335742393","-1.6731703029670246","9.457785233830423","1.9100439045884796","6.3485787194583505","0"
Adani Power Ltd,ADANIPOWER,"Power Generation","94764.98978037","74.97169675831796","0","0.013391396853850273","0.009657503157242748","11.695652041695103","-1.529861009018239","6.873506141926762","18.85475684537159"
Bharat Electronics Ltd,BEL,"Electronic Equipments","92761.09334001","51.13591014779525","0","24.82676154031144","-0.22195244725645935","17.353456030263157","0.01115319654769209","5.344013042504599","0"
Eicher Motors Ltd,EICHERMOT,"Trucks & Buses","91130.7602643","49.204444379926585","-0.004651337654308918","11.284506301466676","1.2311093566157876","28.635055005717568","-1.619488581814629","7.169457525053699","0"
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","86908.03493253","71.64825849422446","-2.217181732961677","3.798873954603968","0.20639176169298112","21.04540545874652","1.112259111071193","1.3560560486437543","2.687979352707238"
Dr Reddy's Laboratories Ltd,DRREDDY,"Pharmaceuticals","86784.025455495","26.69891015723998","-0.009825726032904214","23.04677566415367","-1.6527056666763116","38.553379495454564","2.2174344612392005","7.488334865929594","0"
Shree Cement Ltd,SHREECEM,"Cement","86695.90371684","62.55190995486014","-0.001662936699638351","11.74750867138342","0.629438170184276","12.815194407832124","0.4500045287309469","1.9253702833433497","0"
Havells India Ltd,HAVELLS,"Electrical Components & Equipments","85450.2049192","59.43404576874735","-0.015615969790545137","9.793886090917875","-0.6148935408521901","23.783708875271504","1.0806639945868248","4.862062728433037","0"
Cipla Ltd,CIPLA,"Pharmaceuticals","83612.30708088001","33.470877528501006","-0.14001979485222193","24.33817007638353","3.2096692673434966","25.494920790438673","-2.8936722493122566","6.735828420405202","0"
Ambuja Cements Ltd,AMBUJACEM,"Cement","83258.10445197","63.19727201270023","-0.019152339015860775","14.40470824067418","-2.588750166830545","12.45669122136333","1.7943832181677575","6.351813796250124","63.19727201270023"
Bharat Petroleum Corporation Ltd,BPCL,"Oil & Gas - Refining & Marketing","83155.69943518001","52.97601190910376","0","22.586024074657114","1.687298776098725","12.575816200050868","-0.38472335798967805","7.530613131726434","0"
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,"Asset Management","82987.67513415","51.4617384248192","0.2584975530019662","4.961867947196562","-0.3524778758437934","12.345082835468125","0.29921690851515237","7.872467136673109","0.00030010734678059846"
SBI Cards and Payment Services Ltd,SBICARD,"Payment Infrastructure","81931.125570925","69.02113212156723","-0.3933511791379374","17.46828641822583","0.4316351753254679","8.449073236671245","-0.37459529288306115","4.028130075509316","0"
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI,"Insurance","80498.68907776999","73.34518022072504","-0.0013332750346819466","6.143600188752814","1.1092912435616666","15.206625101004024","-1.4244241944729144","2.3109160304755565","0"
Tata Consumer Products Ltd,TATACONSUM,"Tea & Coffee","79936.80742425","34.44530700334726","-0.0007769109115969286","16.335167641848756","1.201042418360565","25.396517618042967","-0.1914706445176826","18.425844986665066","0.4130627593349705"
Mankind Pharma Ltd,MANKIND,"Pharmaceuticals","75242.5266852","76.4999973538927",,"4.643294998727372",,"4.178093606495485",,"1.0221206083730223","0"
Apollo Hospitals Enterprise Ltd,APOLLOHOSP,"Hospitals & Diagnostic Centres","74417.18707691999","29.333875310492967","0","17.017344208012403","0.45894604735190825","47.925395823004955","-0.012296861409907933","3.7437694064951588","4.781455924048975"
GAIL (India) Ltd,GAIL,"Gas Distribution","71997.34109085","51.52134919516382","0","17.929437864185992","2.0805627051696387","15.971114736154274","-1.9362997963923014","4.107924056900867","0"
Punjab National Bank,PNB,"Public Banks","70635.66480457","73.14607487906339","0","13.447818107242385","0.46434970262894737","1.8234996757780442","0.1175024949501573","8.941153745666155","0"
United Spirits Ltd,MCDOWELL-N,"Alcoholic Beverages","70622.131072035","56.676229676464","-0.05554520563817533","12.713809246058586","1.1051358766524437","15.382923184665598","-0.6865916360524249","6.326130203905872","0.6733112334715307"
Adani Total Gas Ltd,ATGL,"Gas Distribution","70514.323471545","74.80050353384512","0","6.139374701477437","0.3220737884433458","16.31029718428213","-1.1247663747778205","2.3883626278774535","0"
Tata Power Company Ltd,TATAPOWER,"Power Transmission & Distribution","70137.70305665","46.85754183481772","0","14.902713373515544","0.26554877424424284","9.762761997950511","0.12046450599010505","24.73227719232431","0.6582045410399697"
Marico Ltd,MARICO,"FMCG - Personal Products","68703.93273579","59.4220882312755","-0.05610168589407749","10.416603146063219","0.0825574351204672","24.97097223457447","-0.029756830357897","3.7379515847804945","0.07733447383740646"
Macrotech Developers Ltd,LODHA,"Real Estate","67279.25890719","74.9635384019816","-0.03613471375167876","4.091490729546104","0.009293166382945195","19.82783564435098","0.41048819367202327","0.5162513337418488","0"
ICICI Lombard General Insurance Company Ltd,ICICIGI,"Insurance","67120.181551685","48.021126299463454","-0.002928623351067472","17.38448706418495","1.3614635178702912","22.846662350305476","-1.2256098514932674","4.579499981290917","0"
Shriram Finance Ltd,SHRIRAMFIN,"Consumer Finance","66970.64617185","25.509967388166455","-3.8603558015524406","11.74611702166698","-2.7727291520312765","49.78385095000397","-0.8594317448878357","3.3536453685067538","0"
SRF Ltd,SRF,"Diversified Chemicals","66436.213903125","50.52967476661241","0","14.939510886107465","0.9102645164756371","18.50534144702624","-0.7107849351011666","9.910265444198204","0"
Berger Paints India Ltd,BERGEPAINT,"Paints","66401.583962175","74.99246849325296","0.006699806052381518","3.464854841197134","0.2957390950645089","10.642088853852297","-0.4925872795103192","8.05976299797096","0"
Samvardhana Motherson International Ltd,MOTHERSON,"Auto Parts","65189.17354092","64.76644975208585","-3.392074541782563","14.796894287461877","4.2301785561662495","10.876157210321859","2.1275250196712747","6.372277189942382","0.7641339167573836"
Zomato Ltd,ZOMATO,"Online Services","65145.653052434995","0","0","8.035343648178237","-30.770445888886965","54.600786385727126","29.138802255330706","7.39975902313139","0"
Torrent Pharmaceuticals Ltd,TORNTPHARM,"Pharmaceuticals","65135.5171552","71.24617781820314","0","8.997921496593365","-0.5094797554370949","12.042182338163574","0.6740117402675008","3.9223784489458624","0"
Polycab India Ltd,POLYCAB,"Electrical Components & Equipments","64595.13287773001","66.2035288312956","-1.7692195235734118","9.340897427506528","-1.0161017190812114","9.782300808068477","3.3423452640354334","7.912701233726552","0"
Jindal Steel And Power Ltd,JINDALSTEL,"Iron & Steel","64326.79601835","84.37012193114674","23.172435590532572","20.338127081947246","6.160835686692391","17.5304383549413","4.404667218725406","8.114100756061195","28.903961538284122"
CG Power and Industrial Solutions Ltd,CGPOWER,"Heavy Electrical Equipments","63746.67177756","58.12189784314269","-0.0020652238224769803","7.18796493583276","-0.4030823883568049","15.391309272205053","2.4227573735464265","8.415853222493487","0"
TVS Motor Company Ltd,TVSMOTOR,"Two Wheelers","63381.37187874","50.267157109211766","-0.540895748226923","24.398524309375397","-3.21173623749349","17.012988274819847","4.379440188310392","6.749602768640868","0"
Hero MotoCorp Ltd,HEROMOTOCO,"Two Wheelers","61883.96578591","34.771620234888566","-0.0019525171656695761","27.278412637637594","-0.016502446692928885","28.09694819679585","0.6161740346340743","7.508215479441538","0"
IDBI Bank Ltd,IDBI,"Public Banks","61826.31250625","94.71348519383298","0","0.18100515292528108","-0.012883641975566296","0.2942289684211891","0.23756799256813516","1.987814569445269","0"
Tube Investments of India Ltd,TIINDIA,"Cycles","61731.36186121999","46.21336720389856","-0.23237650662749587","11.796672052510726","-2.2810105311440623","28.915787523884756","2.6187752976297425","8.296095036255908","0.01449867646760626"
Zydus Lifesciences Ltd,ZYDUSLIFE,"Pharmaceuticals","61491.40144425","74.97896489040143","0","13.518352151294652","-0.17062645107401586","4.0373223567701695","1.5175804373983102","5.180130171350742","0"
Canara Bank Ltd,CANBK,"Public Banks","61399.238378940005","62.93427259378507","0","15.954115680553679","-0.6886142263615174","8.915307091191156","0.17970688689005954","5.888415061830963","0"
Trent Ltd,TRENT,"Retail - Apparel","61017.645243344996","37.005772476458745","0","15.817751163943306","-0.29740148837485947","25.013843174626064","0.2526193181255394","13.327787108642914","0"
Info Edge (India) Ltd,NAUKRI,"Online Services","60371.3011055","38.053980628578806","-0.05900568322453381","17.36788236820439","0.48676242878859455","31.787248308847865","-0.020310637168126533","5.270163236781735","0"
Power Finance Corporation Ltd,PFC,"Specialized Finance","59771.44307712","55.994174025106425","0","18.132220337957094","0.2040787827100239","17.496104309522867","0.6422569754333871","4.758292173087414","0"
Max Healthcare Institute Ltd,MAXHEALTH,"Hospitals & Diagnostic Centres","59407.020884115","23.75989339690868","-0.01697947989345039","11.896807887903714","-8.572829601370819","59.88636419424114","9.74245952301954","1.954800095665999","0"
Union Bank of India Ltd,UNIONBANK,"Public Banks","58129.527198330004","83.49483105832721","0","8.280603721138275","1.2265193178975018","1.6665466363845316","0.23396460629376548","4.505561083739973","0"
Indian Hotels Company Ltd,INDHOTEL,"Hotels, Resorts & Cruise Lines","56851.52368855","38.188201238830736","-0.00001989529486934316","27.601430766200142","-1.7261434188002305","18.238653099394988","1.9852801278078012","10.590930567376617","0"
Bosch Ltd,BOSCHLTD,"Auto Parts","56336.3916368","70.54139129656427","0","16.773456921560037","0.44819493287366186","3.7007402273846157","0.0792069069806236","6.537199206337366","0"
PI Industries Ltd,PIIND,"Diversified Chemicals","55300.13840197","46.08577730973436","0","23.94840410556635","-0.444215238683622","19.168655255794828","0.5641738846246405","7.499289570676061","0"
IDFC First Bank Ltd,IDFCFIRSTB,"Private Banks","54218.547688520004","39.98775516041363","3.5175026826926725","7.688441269996714","-2.1580498306716525","19.30351030879242","0.020635854436363843","13.548300967085131","0"
Cummins India Ltd,CUMMINSIND,"Industrial Machinery","53804.52","51.00024639249639","0","23.814221861471864","-2.9313358585858573","13.98458225108225","3.628801587301586","7.532378427128428","0"
One 97 Communications Ltd,PAYTM,"Business Support Services","53421.218169","0","0","3.185755976274327","1.8499756307971604","71.83475659346314","-5.420216997183502","8.574146780011848","0"
Adani Wilmar Ltd,AWL,"FMCG - Foods","52162.600811675","87.94088443119367","0","0.0648551877946779","-0.06815838905034526","1.1468095221895263","-0.4271821493899255","9.725980293412615","0"
Muthoot Finance Ltd,MUTHOOTFIN,"Consumer Finance","51897.305384025","73.35039720227338","-0.0021889845680220787","12.659130885546235","0.9043519181629431","9.36742501176945","-0.5660834595419768","3.068641246547179","0"
Procter & Gamble Hygiene and Health Care Ltd,PGHH,"FMCG - Personal Products","51783.15140768","70.63848767939211","0","15.438365291532516","0.8716992738550378","1.0497821121492747","-0.6287072480426814","9.747320578313442","0"
HDFC Asset Management Company Ltd,HDFCAMC,"Asset Management","51405.5854788","52.55075807558064","-10.226773405626957","22.31136319814898","8.909484400183738","12.986188002144381","0.900424545993145","9.006033555710165","0"
AU Small Finance Bank Ltd,AUBANK,"Consumer Finance","51316.825567575","25.541758536176918","-0.04137822479590625","20.62706396825095","-0.70298927491433","39.73851024661892","1.2245759600497266","4.967287233948814","0"
Astral Ltd,ASTRAL,"Building Products - Pipes","51271.36407317","55.84714831273166","-3.7228478078077387e-7","16.498335373280195","2.1331920378570537","13.858094691467723","-2.398873319327187","9.592112435126213","0"
Ashok Leyland Ltd,ASHOKLEY,"Trucks & Buses","50853.72442032","51.110191076062875","-0.41622979363909707","20.63524169924301","-0.5333403431388639","16.45297610048155","1.1562488969523432","9.190987332389742","9.729142273054514"
Yes Bank Ltd,YESBANK,"Private Banks","50178.64438383","0","0","37.94525639344643","-0.47574546648912985","23.791337141925776","0.5425730363850647","22.338247455429656","0"
Indian Railway Catering and Tourism Corporation Ltd,IRCTC,"Online Services","50040","62.396521250000006","0","9.935503375","1.2060418749999986","6.98734425","0.14384462499999895","19.316772125","0"
Abbott India Ltd,ABBOTINDIA,"Pharmaceuticals","49869.24313823","74.98621837084343","0","8.782519068155745","0.390238700546492","0.18659436437018026","-0.01199568814072105","13.726653233127376","0"
Colgate-Palmolive (India) Ltd,COLPAL,"FMCG - Personal Products","49742.09267409","50.99999950732692","0","7.615215809523233","-1.6575375447954723","21.502256255196183","2.0362494586754494","17.86223128240663","0"
Indian Overseas Bank,IOB,"Public Banks","49618.832172","96.38096092321308","0","1.3375161200377959","-0.029722978865920124","0.09052197025577347","-0.004521650403263758","1.2680837067444395","0"
Schaeffler India Ltd,SCHAEFFLER,"Auto Parts","48993.3853615","74.1270086620487","0","15.882967431282962","0.8262749044856061","4.038426608920955","-0.770235273426402","4.227705593860976","0"
JSW Energy Ltd,JSWENERGY,"Power Generation","48477.8458329","74.65760148887908","-0.000304011307363794","10.32335361332773","-0.03855933497035302","5.1817550814523266","0.04324086589453913","2.840825635659614","9.284656541778425"
Aditya Birla Capital Ltd,ABCAPITAL,"Diversified Financials","48094.0917093","69.10464658655737","-1.94904288043044","7.988655758461974","-0.06071433541410087","11.041866396459762","2.937989816089077","6.23855714783932","0"
UPL Ltd,UPL,"Fertilizers & Agro Chemicals","47975.087374515","32.347644459963604","3.386452456329188","14.404510438496857","-2.7948676106539274","42.621040677628805","-0.13797015793542755","6.591583711309434","0"
Patanjali Foods Ltd,PATANJALI,"Packaged Foods & Meats","47891.9190519","80.82333120907661","0","2.7487584195016166","-0.7363093640450185","3.0034827594634335","0.7362187550219117","6.52615024888213","0"
Tata Elxsi Ltd,TATAELXSI,"Software Services","47074.1382316","43.91535386415794","0","3.5474346317804937","-0.35702105001506146","13.855067823401596","-1.5147204946204358","32.18089858700979","0"
Balkrishna Industries Ltd,BALKRISIND,"Tires & Rubber","46979.9435138","58.29290194007062","0","20.99875598233142","0.7705527894337791","12.408198153511336","-0.045402066934656204","5.737897907578731","0"
NHPC Ltd,NHPC,"Renewable Energy","46960.537713375","70.94821286684432","0","14.202365195289138","-0.48650333173235794","7.373985619555054","0.8479990627568572","3.8976283069235222","0"
Tata Communications Ltd,TATACOMM,"Telecom Services","46124.4","58.863330877192986","0","14.081613684210526","0.1501792982456145","17.17383052631579","-0.1063203508771906","4.620569473684211","2.9210526315789473"
Indus Towers Ltd,INDUSTOWER,"Telecom Infrastructure","45371.34897552","68.99699078303112","0","2.4553986689744263","-0.4613915735579641","26.62875285449628","0.12514448621887198","1.357293609410788","21.04554004500922"
Godrej Properties Ltd,GODREJPROP,"Real Estate","44693.1775035","58.482955262474","-0.0017110233388919482","4.304718493889442","-0.25079696716766087","28.85075467892213","1.4377075102920678","4.680310475991977","0"
Supreme Industries Ltd,SUPREMEIND,"Plastic Products","44269.49932935","60.348417416480885","11.49748296458106","21.14195219034081","2.6197009532600255","23.53585063127471","6.130120646744665","14.016797088391609","0"
Aurobindo Pharma Ltd,AUROPHARMA,"Pharmaceuticals","44009.84892199","51.83400894478349","0","15.082025427684354","-1.4861517685037882","23.028009236373773","1.629906589753329","8.16026939777918","9.277228222385325"
L&T Technology Services Ltd,LTTS,"Software Services","43776.04706984","77.94468727515927","4.090311356760779","11.202792015955838","3.282274719679336","5.610583532382203","-1.605641454170728","8.65914755205171","0"
MRF Ltd,MRF,"Tires & Rubber","43564.236284545004","27.842282139508146","-0.031076528190631336","11.659215452060918","-0.8321105890558282","18.047917742929208","1.585728186953375","12.734939614155902","0.025936404407962667"
Alkem Laboratories Ltd,ALKEM,"Pharmaceuticals","43515.083925","73.26450906567776","16.10488124817264","20.944164396993813","4.507156075160498","7.225407532393836","2.816198315649806","1.5657140879825664","0"
Indian Railway Finance Corp Ltd,IRFC,"Specialized Finance","42930.04221","86.36363636363636","0","2.6247688373866147","-0.7652110654423696","1.1429007875881145","0.09021931045522713","6.689954115642599","0"
REC Ltd,RECLTD,"Specialized Finance","42750.39164","52.63485605478303","0","12.013447659599032","-0.09926333650308372","21.900143854073942","0.4131580146618745","7.824373923373021","0"
Lupin Ltd,LUPIN,"Pharmaceuticals","42449.094044175","47.069189049737616","-0.032439587395856506","29.364338515078465","-0.02005582339324974","13.93521743246481","-0.0478974196134061","6.889316331177609","0"
