Name,Ticker,"Sub-Sector","Market Cap","1Y Return vs Nifty","6M Return","1M Average Volume","1D Change in Volume","1W Return vs Nifty","1W Return","1D Return","Close Price","Face value","Daily Volume","6M Return vs Nifty","5Y CAGR","1Y Return","% Away From 52W Low","% Away From 52W High","1M Return vs Nifty","1M Return"
Infinium Pharmachem Ltd,INFINIUM,"Commodity Chemicals","194.0950837","-22.748789891239223",,"11045.454545454546","-33.333333333333336","-7.519505630482858","-6.315789473684211","-4.283921849793866","267","10","2000","-8.95436775336089",,,"88.69257950530036","15.149812734082403","-4.999292799558009","-0.6881160498419276"
South India Paper Mills Ltd,STHINPA,"Paper Products","193.875","-48.30084036442534","-11.610486891385769","7008.181818181818","362.4031007751938","-1.4385682000114224","-0.23485204321277595","2.7079303675048325","106.2","10","9544","-20.56485464474666","2.2539709054074875","-25.55205047318612","4.117647058823537","36.817325800376665","-7.58986527430624","-3.2786885245901587"
McLeod Russel India Ltd,MCLEODRUSS,"Tea & Coffee","193.765388425","-33.005200147649475","-30.75539568345324","1503204.1818181819","128.38489362326686","-0.15384739039445083","1.0498687664041957","3.7735849056603734","19.25","5","3501129","-39.70976343681413","-32.65843784365955","-10.256410256410254","18.09815950920244","115.06493506493504","-9.249448354654351","-4.938271604938271"
Bharat Gears Ltd,BHARATGEAR,"Auto Parts","193.62728138","11.64382927841736","-7.4479350511825","95427.68181818182","-20.57732052075005","-1.0126576929086961","0.19105846388995032","3.965107057890563","131.1","10","105297","-16.40230280454339","4.932722077417329","34.392619169656584","45.585785674625214","31.69336384439361","1.2019017211088645","5.513078470824945"
Bimetal Bearings Ltd,BIMETAL,"Industrial Machinery","192.952125","20.573401650687824","5.071382910718093","2799.2727272727275","-54.13363533408833","1.87980009699042","3.0835162537890666","-2.249975220537212","493.1","10","2430","-3.882984842642797","-1.625218772600423","43.32219154192705","53.13664596273293","3.1839383492192175","7.249909223134601","11.561085972850682"
Indian Acrylics Ltd,INDIANACRY,"Textiles","192.83408085","-12.654893177624192","8.56481481481481","364896.3181818182","-0.6519203740069179","-3.154935668993764","-1.9512195121951175","-1.26315789473684","14.07","10","99665","-0.3895529385460801","-1.6493300975032987","10.093896713615031","78.78017789072427","16.915422885572127","2.603716867305197","6.914893617021278"
Suraj Products Ltd,SURAJ,"Iron & Steel","192.66","103.32124901926665","23.006351446718437","3255.5","813.2147395171537","6.455332638754166","7.659048795552813","3.1360946745562197","174.3","10","7187","14.051983693357547","55.37220553049955","126.07003891050587","135.06405933917733","1.8072289156626287","3.949692815501317","8.260869565217398"
Synoptics Technologies Ltd,SYNOPTICS,,"191.7328","-22.748789891239223",,,"-77.31290512669416","-1.2037161567986465",,"-1.9018133569217086","221.8","10","231000","-8.95436775336089",,,"3.2588454376163867","7.303877366997291","-4.311176749716081",
Kanchi Karpooram Ltd,KANCHI,"Commodity Chemicals","190.74025380999998","-45.92347654212888","-8.602711157455683","4601.045454545455","43.18936877076412","-1.6127605835683343","-0.40904442676968783","-0.19357777271692614","438.25","10","2155","-17.55707891081657","14.783533959488127","-23.174686650889655","16.246684350132632","48.06617227609811","-3.1220749256569773","1.1891018240591034"
Veefin Solutions Ltd,VEEFIN,,"189.37351748","-22.748789891239223",,,"262.406015037594","-6.6831682115931645","-5.4794520547945185","4.989930633251296","93.84","10","771200","-8.95436775336089",,,"10.231410783507577","5.988917306052843","-4.311176749716081",
Aksharchem (India) Ltd,AKSHARCHEM,"Specialty Chemicals","189.17948145","-35.44109758354692","-9.869540555870673","11682.318181818182","50.71134406589292","-2.3033012190393127","-1.0995850622406662","1.2101910828025453","238.35","10","16102","-18.823908309231562","-14.733874409427628","-12.692307692307693","18.552598856005954","64.31718061674007","-11.09647201760814","-6.785295267892059"
Panasonic Carbon India Co Ltd,PANCARBON,"Batteries","188.664","-10.44562768409545","12.939358825801467","11663.227272727272","2859.858018715715","15.290307747583826","16.494023904382473","11.588856379595473","438.6","10","91726","3.984991072440577","-1.8897772062864693","12.303162207143773","53.89473684210526","2.5991792065663377","10.64099203550211","14.952168785218191"
Goyal Aluminiums Ltd,GOYALALUM,"Iron & Steel","188.4072696","-22.748789891239223","-32.290330854065154","933336.8","0","-3.0624522162782","-1.858736059479554","0","13.2","1","15615","-41.244698607426045",,,"19.999999999999996","259.469696969697","-11.353430270842843","-7.042253521126761"
DC Infotech and Communication Ltd,DCI,"IT Services & Consulting","188.28","-22.748789891239223","15.78148710166918","1742.090909090909","289.62108731466225","-4.651992018867622","-3.448275862068976","-2.7405991077119256","152.6","10","2365","6.82711934830829",,,"245.24886877828052","24.377457404980362","-12.906564590386939","-8.595387840670858"
Emkay Global Financial Services Ltd,EMKAY,"Investment Banking & Brokerage","188.12815605","-11.51530971502776","0.19841269841270595","20843","-53.4097309475326","0.33783880298688396","1.5415549597855305","-0.7858546168958669","75.75","10","21507","-8.755955054948183","-9.001802453359776","11.233480176211463","22.473726758286183","25.412541254125422","-2.428190872110155","1.8829858776059258"
SPL Industries Ltd,SPLIL,"Apparel & Accessories","187.92002592","17.952591617793733","-12.779973649538869","76532.36363636363","-36.360908872709814","-1.5049209760757591","-0.3012048192771127","2.1604938271605025","66.2","10","31817","-21.73434140289976","21.89463085011576","40.701381509032956","42.98056155507561","30.211480362537756","-2.308095085617472","2.003081664098609"
