Name,Ticker,"Sub-Sector","Market Cap","PE Ratio","Dividend Yield","Dividend Yield vs Sector","Dividend Yield vs Sub-sector","Enterprise Value","EV / Invested Capital","EV / Revenue Ratio","EV / Free Cash Flow","EV / EBIT Ratio","EV/EBITDA Ratio","Sector PB","Sector Dividend Yield","Sector PE","Price / Free Cash Flow","PB Premium vs Sub-sector","PB Ratio","PB Premium vs Sector","PE Premium vs Sub-sector","PE Premium vs Sector","Forward PE Ratio","Price / Sales","Price / CFO","PS Ratio","PS Premium vs Sub-sector","Forward PS Ratio"
Repro India Ltd,REPRO,"Stationery","1000.57346688","114.74466363302695",,,,"1096.30346688","2.956111381329882","2.592224219426842","95.99855226619965","56.42323555738537","24.836961188944247","5.199201697435677","0.6796423106764077","40.413738273540055","87.61589026970228","-74.95993029305886","3.725975522752663","-28.33562266702657","59.27407689248426","183.92489419409466",,"2.365869353258299","40.28073538164251","2.365869353258299","-70.67429763157433",
GIC Housing Finance Ltd,GICHSGFIN,"Home Financing","997.3217423200001","4.6767725313950725","2.4311592409082654","1.3333386345419398","1.686148057682873","10880.41174232","0.9161950497294885","9.638065145114712","8.496538059083065","37.53807742735896","36.29344455225322","2.356395732210513","1.0978206063663256","15.462357448790888","0.7788107970044591","-50.51851156666965","0.6601457162752531","-71.98493838486219","-62.44953463721369","-69.75381957839305",,"0.8834456039684649","0.7755404420942946","0.8834456039684649","-54.26171434175267",
Agarwal Industrial Corporation Ltd,AGARIND,"Commodity Chemicals","996.93663685","10.80572985963582","0.3312344163049203","-3.001931522437873","-0.7911417672742154","1105.40663685","2.3742061402736314","0.5461252399102807",,"9.068887003445735","7.645640039078715","2.8765341010688186","3.333165938742793","20.57991125317835",,"-11.131077866644329","3.384494285884029","17.658757621766778","-49.7141345922303","-47.493797583957075",,"0.49253572561002723","15.413367916666665","0.49253572561002723","-77.63047411230235",
Talbros Automotive Components Ltd,TALBROAUTO,"Auto Parts","992.89729275","17.86429098146815","0.12433944668946224","-0.5076459292632994","-0.6817040894138431","1076.5172927499998","2.754015945022896","1.6181903207016803","62.29845444155091","13.18453512247397","10.216544488469202","6.227419483210649","0.6319853759527617","62.005469627004246","57.45933407118055","-38.97288053051265","3.2889373372751667","-47.18619251292992","-66.88168529636977","-71.18916913470484",,"1.4924951037940053","19.208692063261754","1.4924951037940053","-22.488750293031767",
Zota Health Care Ltd,ZOTA,"Pharmaceuticals","984.397793875","-170.60620344454023","0.25559105431309903","-0.553499055639482","-0.7277853287040323","996.9977938750001","9.53791058906534","6.998931511934013","98.90851129712303",,"101.42398716937963","4.871098330521277","0.809090109952581","37.97941699676498","97.65851129712301","154.86973671395836","10.982905208914428","125.47081712758404","-605.2124016071207","-549.2070098365969",,"6.910479423481925","73.8482966147787","6.910479423481925","78.10989675384205",
Radiant Cash Management Services Ltd,RADIANTCMS,"Business Support Services","983.31335379","15.680327759368522","3.089148325192705","2.4095060145162974","2.4326896153418556","932.79335379","5.535208603073819","2.6093581565122523","37.35656202603124","10.944425129531854","10.400193486341845","5.199201697435677","0.6796423106764077","40.413738273540055","39.37978989947938","85.86771936037174","7.035224681905989","35.313555644049465","114.45734559462579","-61.20050153926283",,"2.7506807479859012","31.638138796332047","2.7506807479859012","-14.747255975706095",
Wardwizard Innovations & Mobility Ltd,WARDINMOBI,"Two Wheelers","982.0685982309999","111.09373283156107","0.26106322965811235","-0.37092214629464937","-2.0711727733179126","964.9885982309999","15.504315524276988","4.0328844794007015",,"68.82942926041369","50.86919337011069","6.227419483210649","0.6319853759527617","62.005469627004246",,"312.96365736906245","15.77873711810732","153.37520879470824","329.8405165353092","79.16763391979569",,"4.10426528849465","90.59673415415128","4.10426528849465","60.77343573148609",
Faze Three Ltd,FAZE3Q,"Textiles","981.75803","16.839760377358488","0.12385434728758982","-0.5081310286651719","-0.4222724996845638","1082.02803","2.430322155338933","1.919306140911026",,"12.66122197519307","10.827859801861301","6.227419483210649","0.6319853759527617","62.005469627004246",,"-73.84844283453543","3.527696837944663","-43.35218869620935","-66.52761641244452","-72.84149208342656",,"1.7414467681282815",,"1.7414467681282815","-16.889762109833978",
Finkurve Financial Services Ltd,FINKURVE,"Diversified Financials","981.755594322","68.55835155879886",,,,"1003.135594322","5.509917578391739","19.813067239225752","36.70455888481522","51.20651323746809","50.10667304305694","2.356395732210513","1.0978206063663256","15.462357448790888","35.922268361580684","300.19129645295607","6.21167728137931","163.6092569880948","985.1121072133104","343.38873801006275",,"19.390787958167092","35.32765722641238","19.390787958167092","1215.5984113071981",
Linc Ltd,LINC,"Stationery","981.571206","26.24521941176468","0.7575757575757576","0.07793344689934989","-2.5361233959435596","984.831206","6.731127099993165","2.0088756649804176","158.84374290322577","19.41319152375319","15.188636736582348","5.199201697435677","0.6796423106764077","40.413738273540055","158.31793645161287","-53.82178926366233","6.871342009100454","32.161481876910095","-63.56969498800861","-35.058669321496254",,"2.002225860802872","48.02207465753424","2.002225860802872","-75.18177426517458",
India Nippon Electricals Ltd,INDNIPPON,"Auto Parts","981.5435873600001","20.351308052249674","2.131827610048398","1.4998422340956363","1.3257840739450926","816.20358736","1.6064786099553212","1.2024035994755529",,"13.415575071663396","10.81637407050094","6.227419483210649","0.6319853759527617","62.005469627004246",,"-63.87423181489613","1.946927675017356","-68.73620477524688","-62.271045327009276","-67.17820512500981",,"1.445976911595292","139.2260407602837","1.445976911595292","-24.904626366772547",
Steel Cast Ltd,STEELCAS,"Iron & Steel","980.9316","13.909977311401025","2.0427112349117924","-1.2904547038310006","0.8801049544198309","996.1216","4.1703156660805485","2.0842416253426235","16.4376501650165","10.234476523168604","8.626670130769899","2.8765341010688186","3.333165938742793","20.57991125317835","16.1869900990099","127.77205328064258","4.558020538079086","58.455292999498475","-41.366265443868876","-32.40992567811595",,"2.0524587282656457","9.110537754249094","2.0524587282656457","126.26566491057919",
Vascon Engineers Ltd,VASCONEQ,"Construction & Engineering","973.58065728","9.79358874640377",,,,"1048.44065728","1.0603805421850032","1.0174787780635268","57.385914465243566","9.032052526533418","8.190942634999994","5.199201697435677","0.6796423106764077","40.413738273540055","53.28848698850574","-61.43091691297395","1.181329212609508","-77.27864235018701","-63.321261611027545","-75.7666843880763",,"0.9448294957250856","29.25422648076923","0.9448294957250856","-40.67985145280229",
Ganesh Benzoplast Ltd,GANESHBE,"Specialty Chemicals","970.5960286899999","17.618370460882193",,,,"952.5160286899999","3.0671905609080663","2.2195927405741713","14.327858433965103","12.157192452967452","9.960431127156749","2.8765341010688186","3.333165938742793","20.57991125317835","14.599819926143201","-49.36509630857632","3.4067954674973673","18.434037205799935","-46.97151307026729","-14.390444914279096",,"2.261723513748427","11.261121112542057","2.261723513748427","-44.28803344346654",
India Motor Parts & Accessories Ltd,IMPAL,"Auto Parts","969.6336","12.9043598615917","3.0890018662719605","2.457016490319199","2.282958330168655","872.7236","0.6378998918223547","1.153648561117794","31.415536357091433","9.31103808812547","9.220534601162178","6.227419483210649","0.6319853759527617","62.005469627004246","34.90401727861771","-86.84924348566739","0.7087343215507412","-88.61913311827612","-76.07681987555907","-79.1883523514647",,"1.281753360916866","30.357971195992484","1.281753360916866","-33.43341323651983",
