Name,Ticker,"Sub-Sector","Market Cap","Retail Investor Holding","Pledged Promoter Holdings","No. of Shareholders","MF Holding Change – 3M","Mutual Fund Holding","Insider Trades - 6M Cumulative","Insider Trades - 3M Cumulative","Insider Trades - 1M Cumulative","Insurance Firms Holding","FII Holding Change – 6M","FII Holding Change – 3M","Foreign Institutional Holding","DII Holding Change – 6M","DII Holding Change – 3M","Domestic Institutional Holding","Promoter Holding Change – 6M "," MF Holding Change – 6M","Bulk Deals - 6M Cumulative","Bulk Deals - 3M Cumulative","Bulk Deals - 1M Cumulative"
Pressman Advertising Ltd,PRESSMN,"Advertising","331.1080863","37.171099768456486","0","19252","0","0",,,,"0","0.27334850384171966","0.1277528449174574","0.2755628864869556","0","0","0.005817012871908227","0","0","0.5535956613089821","0.5535956613089821","0.5535956613089821"
Vishal Fabrics Ltd,VISHAL,"Textiles","330.996755025","11.203227905421368","6.813644955007667","31389","0","0","-0.7588684667951754","0","0","0","-0.38980769612153754","-0.044459287822590454","4.72732749262698","0","0","0","-0.7475097300615943","0","0.7596740940285295","0","0"
Salasar Exteriors and Contour Ltd,SECL,"Construction & Engineering","329.43472","4.834948787425928","0","174","0","0",,,,"0","0","0","0","0","0","0","-0.5221064737802834","0",,,
Cupid Ltd,CUPID,"FMCG - Personal Products","329.18184","32.035934922777024","0","26434","0","0",,,,"0","-0.12855000749737594","-0.203936122357175","0.455143199880042","0.33845404108562005","0.33845404108562005","0.33845404108562005","0","0",,,
Indo National Ltd,NIPPOBATRY,"Batteries","329.1","23.59156","0","11871","0","0",,,,"0","-0.00019999999999999987","-0.0009999999999999998","0.0014133333333333335","0","0","0","0","0",,,
20 Microns Ltd,20MICRONS,"Specialty Chemicals","329.04663115","24.923093822107955","0","22332","0","0",,,,"0","-0.011959247193161882","-0.2110212001178241","0.7215336901345449","-0.12859024677481493","0","0.0005724568561655672","0","0",,,
Ruchira Papers Ltd,RUCHIRA,"Paper Products","327.99638515","22.812663501087368","0","27847","0","0",,,,"0","0.07745755273356869","0.05426037238752157","0.9116741053815238","-2.9638840210247097e-12","0","0.00014742845406020476","0.7877028341386421","0",,,
Mindteck (India) Ltd,MINDTECK,"IT Services & Consulting","326.64848201999996","14.466679382498215","0","19962","0","0",,,,"0","-0.0357544378847888","-0.016614224134134742","0.20454308242601757","0","0","0","1.2478102431956302","0","0","0","0"
Ponni Sugars (Erode) Ltd,PONNIERODE,"Sugar","325.96602638","20.85387102604223","0","14673","0","0.0467527863846582",,,,"0","0.09880097238759689","0.024376577179662462","23.304740476678383","5.437364409416334e-8","0","0.0467527863846582","0.000049268161795623655","5.437364409416334e-8",,,
Alufluoride Ltd,ALUFLUOR,"Commodity Chemicals","322.51667768000004","30.456242978373965","0","12140","0","0",,,,"0","0","0","0.053577260327432506","0","0","1.2799722574644377","0.0902885525470225","0",,,
IFL Enterprises Ltd,IFL,"Textiles","322.23129796","0.926305215196856","0","2830","0","0",,,,"0",,"0","0",,"0","0",,,"15.962399213634741","15.962399213634741","2.1255070684143775"
Shivam Autotech Ltd,SHIVAMAUTO,"Auto Parts","321.44444386","18.966662216303025","0","27210","0","0.014318181844214876",,,,"0","-0.007186090922156528","-0.0010390909109801651","0","0","0","0.01677272730322314","0","0",,,
CWD Ltd,CWD,,"320.33118","5.682006977903306","0","389",,"0",,,,"0","0",,"0","0",,"0","0","0",,,
Axis Gold ETF,AXISGOLD,"Gold","319.17102719999997",,,,,,,,,,,,,,,,,,,,
Kilpest India Ltd,KILPEST,"Fertilizers & Agro Chemicals","319.09425","27.712399909484198","0","13136","0","0",,,,"0","1.0436246164538727","0.6174182526601038","3.157514948228889","0","0","0","1.2134267578804696","0",,,
Indo Us Bio-Tech Ltd,INDOUS,"Agro Products","317.8242","7.022112507480551","0","235","0","0",,,,"0","0","0","0","0","0","0","-3.850300645226312","0",,,
Ceinsys Tech Ltd,CEINSYSTECH,"IT Services & Consulting","317.500993275","12.881380733060007","8.586390460954378","5069","0","0",,,,"0","0","0","0","-7.089565513737998","-7.089565513737998","0","0","0","-10.434039121668635","-10.434039121668635","0"
Loyal Textile Mills Ltd,LOYALTEX,"Textiles","317.04255795","13.79429978037748","0","3083","0","0",,,,"0","-0.0002076219685635425","-0.0002076219685635425","0","0","0","0.083048787425417","0","0",,,
Sika Interplant Systems Ltd,SIKA,"Aerospace & Defense Equipments","315.871836625","21.282942331389624","0","6389","0","0",,,,"0","0.38151727228239385","0.12765982536098153","1.5827884462315824","0","0","0","0","0",,,
UFO Moviez India Ltd,UFO,"Movies & TV Serials","314.900247035","28.47801891386342","5.936722929424933","44666","0","0",,,,"0","-0.2837907703938676","-0.23902390964051579","1.0696001150454093","-0.0714337666392737","-0.05613224705842157","24.622475818067944","-0.06587562522660306","0",,,
Systematix Corporate Services Ltd,SYSTMTXC,"Diversified Financials","314.38184875999997","5.398621506598713","16.56361529948018","1805","0","0","0.04602761138491444","0.04602761138491444","0","0","0","0","0","0","0","0","0.015639134445549985","0",,,
Alliance Integrated Metaliks Ltd,AIML,"Building Products - Prefab Structures","313.5375","2.367593541442411","0","4741","0","0",,,,"0","2.3174174381054895","1.3864370290635089","5.1850170075349835","0","0","0","0","0","0.4211926803013988","0","0"
Super Sales India Ltd,SUPER,"Conglomerates","313.35443","32.27289597916327","0","4643","0","0",,,,"0","0","0","0","0","0","0.003353410385804981","0","0",,,
Rudrabhishek Enterprises Ltd,REPL,"Real Estate","311.9048625","19.623035894478882","0","12897","0","0",,,,"0","-0.00011532362692806688","-0.00034597088078420064","0","0","0","0","0","0",,,
Asian Hotels (North) Ltd,ASIANHOTNR,"Hotels, Resorts & Cruise Lines","309.50087339000004","6.22741345408518","50.693512115649284","11385","0","0.0020305112328652484",,,,"0.12977280018653972","0","-0.00041124278133979715","0.0011000744400839573","-7.4539347683615915","-0.7522144524181571","3.671544708593108","0","0","1.8078078451654478","0","0"
Inspirisys Solutions Ltd,INSPIRISYS,"IT Services & Consulting","309.209693765","8.657583853223349","0","7547","0","0",,,,"0","-0.000050483540182487395","0","0","0","0","0","0","0",,,
Uravi T & Wedge Lamps Ltd,URAVI,"Electrical Components & Equipments","308.99","6.414545454545455","24.938181818181818","248","0","0",,,,"0",,"0","0",,"0","0",,,"0.5672727272727273","0.5672727272727273","0"
Kothari Products Ltd,KOTHARIPRO,"Commodities Trading","308.28712545","7.070615686004476","0","7928","0","0",,,,"0","-0.00023455406999059943","-0.00016753862142185672","0","0","0","0","0","0",,,
Panorama Studios International Ltd,PANORAMA,"Movies & TV Serials","308.18153","2.87090204270191","0","1103","0","0","1.0605178058529334","0","0","0","0","0","0","0","0","0","1.060517805852939","0",,,
Mahindra EPC Irrigation Ltd,MAHEPC,"Agricultural & Farm Machinery","308.15740031999997","29.71354226056853","0","30028","0","0",,,,"0","-0.0914779197237597","0.006540540377724815","0.013823346028579582","0","0","0.0007171645151014048","0","0",,,
Sinclairs Hotels Ltd,SINCLAIR,"Hotels, Resorts & Cruise Lines","307.338","22.908011049723758","0","11186","0","0",,,,"0","0","0","0","0","0","0.0002762430939226519","0","0","0.5745062836624776","0.5745062836624776","0"
AVG Logistics Ltd,AVG,"Logistics","306.92243861500003","4.918782760923294","0","271","0","0",,,,"0",,"0","0.18343526870846538",,"0","24.002224662175504",,,"-1.4437035037240333","-1.4437035037240333","0"
Gretex Corporate Services Ltd,GCSL,,"306.827247375","3.6693644701768884","0","96",,"0",,,,"0","0",,"0","0",,"0","-3.868659026065089","0","-1.8988666161232608","0","0"
Mangalam Worldwide Ltd,MWL,"Iron & Steel","306.258425","7.273269298632357","0","761",,"0",,,,"0",,,"0",,,"0",,,,,
KN Agri Resources Ltd,KNAGRI,"Agro Products","306.2366475","11.253214640158312","0","1312",,"0",,,,"0","-2.61771413233617",,"3.187338967979004","-0.889638788251168",,"3.168138130822504","0","0","-0.6656290214253342","0","0"
Milkfood Ltd,MLKFOOD,"FMCG - Foods","305.6956864","12.526420052226161","0","4340","0","0.05320847078854954",,,,"0","0","0","7.639508517448286","0","0","0.06139438937140332","0","0","0.010229362772075534","0.010229362772075534","0.010229362772075534"
Supreme Holdings & Hospitality (India) Ltd,SUPREME,"Real Estate","303.788292239","5.361104041556335","0.4228108958818867","3336","0","0",,,,"0","0","0","0","0","0","0","-0.9890956224330338","0",,,
GSS Infotech Ltd,GSS,"Software Services","303.788029545","19.482314384091534","0","11498","0","0",,,,"0","4.91982478670907","1.6164641781233966","4.989040755706362","-2.862546461580827","-1.2312152861073342","1.885062050820215","0","0","-1.0288209806030788","-1.0288209806030788","0"
Vishwaraj Sugar Industries Ltd,VISHWARAJ,"Sugar","303.2647","53.76917030567686","0","141577","0","0",,,,"0","-0.23838747470444135","-0.0670406859090425","0.009188944509532431","0","0","0","0","0","0.3757966769624028","0.3757966769624028","0"
Bannari Amman Spinning Mills Ltd,BASML,"Textiles","303.135746925","18.172296416307912","0","17543","0","0",,,,"0","-0.03447155311110625","0.005652211978892471","0.08481402395066608","0","0","0","0","0",,,
Innovators Facade Systems Ltd,INNOVATORS,"Construction & Engineering","301.696122","12.931279563582585","0","1049","0","0",,,,"0","-0.16112099508326563","0","0.04240026186401727","0","0","0","0","0",,,
Mangalam Industrial Finance Ltd,MANGIND,"Diversified Financials","300.9944155","15.326085186454232","0","61322","0","0","-0.9688765119298368","0","0","0","0","0","0","0","0","0","-0.8815260540938397","0",,,
Macpower CNC Machines Ltd,MACPOWER,"Industrial Machinery","300.6750288","13.827507756773183","0","10166","0","0",,,,"0","-0.33366119694207264","-0.00009995841729804056","5.794589450788472","-1.7196146403096315","-0.1538559959057033","1.4593928925566964","0","0","1.2994594248792504","1.2994594248792504","0"
Veljan Denison Ltd,VELJAN,"Industrial Machinery","298.94625","12.277955555555556","0","2898","0","0",,,,"0","0","0","0","0","0","0","0","0",,,
Axis AAA Bond Plus SDL ETF-2026 Maturity,AXISBPSETF,"Equity","298.533586836",,,,,,,,,,,,,,,,,,,,
Gokul Refoils and Solvent Ltd,GOKUL,"Packaged Foods & Meats","298.469925","11.050366180110107","0","26502","0","0",,,,"0","-0.04447396333148139","-0.10700035355320976","0.09262690034850245","0","0","0","-0.29692307692306485","0",,,
Megastar Foods Ltd,MEGASTAR,"Packaged Foods & Meats","296.909816","10.091046312864242","0","6324","0","0",,,,"0","-0.00009996301368493657","-0.0003998520547397463","0","0","0","0","0","0","-0.046501399440224245","-0.5097960815673731","0"
Manaksia Steels Ltd,MANAKSTEEL,"Iron & Steel","296.54157625","14.951239851649639","0","26985","0","0",,,,"0","0.6292454075400499","0.6104856940781167","0.7336705117416061","0","0","0.0007644880790978125","0","0","-0.8201843163973538","-0.8201843163973538","0"
Variman Global Enterprises Ltd,VARIMAN,,"296.152282","4.750098205494353","0","9497","0","0",,,,"0","-0.04689282392000005","-0.04689282392000005","0.30930864363004623","0","0","0","-1.7786985108794617","0","1.1162784493538975","0.6162934556065027","0"
Hindustan Motors Ltd,HINDMOTORS,"Four Wheelers","295.252899595","40.84641751374093","0","195784","0","0.0318461732734808",,,,"1.8345336768681566","-0.0005866021984460568","-0.00012268804150505908","0.0224245943361842","0","0","3.1464901014497353","0","0",,,
Reliance Capital Ltd,RELCAPITAL,"Diversified Financials","295.05295985","60.075540196047385","0.051442588278904404","783442","0","0.0011744738616291405",,,,"3.033201418444689","-0.5733514899538307","-0.2551085438216973","0.1442378947141324","-0.013341475199730723","0","3.060713310368465","-0.003840229870023748","-0.000005119464748486917",,,
Kriti Nutrients Ltd,KRITINUT,"Agro Products","294.8592152","17.792264894761885","0","19985","0","0","0.34076647708584146","0.34076647708584146","0","0","0","-0.0001397107428779455","0","0","0","0.003193388408638754","0","0",,,
Oriental Rail Infrastructure Ltd,ORIRAIL,"Rail","294.579895","9.121906016362725","0","5002","0","0",,,,"0","0","0","0","0","0","0","0","0",,,
Synergy Green Industries Ltd,SGIL,"Industrial Machinery","294.39855","10.432200990799718","0","5122","0","0","-0.1450813871196037","-0.1450813871196037","0","0","-4.765541401273885","-0.801917905166313","5.114571832979476","-0.2342533616418967","-0.13517338995046013","1.8039631988676574","-0.14508138711960328","0",,,
Modi's Navnirman Ltd,MODIS,,"293.3082","8.390070921985815","0","415","0","0",,,,"0",,"0","0",,"0","0",,,,,
DU Digital Global Ltd,DUGLOBAL,"IT Services & Consulting","292.876416","3.665505658195435","0","190","0","0",,,,"0",,"0","16.09866736418954",,"0","0",,,,,
Tierra Agrotech Ltd,TIERRA,,"292.80043565","1.913682537959898","16.607682756205335","617","0","0","-23.130895782237964","0","0","0","0","0","0","0","0","0","0","0",,,
DCM Nouvelle Ltd,DCMNVL,"Textiles","291.74643938","23.833225299258494","0","35308","0","0.34952284667708083",,,,"1.6005836677642473","-0.5590127589786115","0","0.47558728838255615","-0.7745205270720792","-0.535396422770217","1.9882428016352507","0","0",,,
Swiss Military Consumer Goods Ltd,SWISSMLTRY,,"291.352308","14.093250113157069","0","32917","0","0.00040693003476932295",,,,"0","0","0","0.003814969075962403","0","0","0.00040693003476932295","0","0",,,
Kilitch Drugs (India) Ltd,KILITCH,"Pharmaceuticals","291.311453705","17.657955789507326","0","9522","0","0",,,,"0","-0.00012835060044657023","-0.00006417530022328512","0","0","0","0.0006417530022328512","0","0",,,
Sakthi Sugars Ltd,SAKHTISUG,"Sugar","291.1801382","20.397825523801473","8.735367445470908","51305","0","0.005856168660888423",,,,"0","-0.026371269851948986","-0.5423779794057395","0.014028721276292051","-2.448991677139057","0","8.114075069149067","0","0","-1.4236556365505564","-1.4236556365505564","0"
PPAP Automotive Ltd,PPAP,"Auto Parts","291.06","14.363207142857142","0","16414","0","0",,,,"0","-0.08224285714285706","-0.029528571428571126","5.700092857142857","0","0","0","0.1354999999999933","0",,,
STEL Holdings Ltd,STEL,"Asset Management","290.949459825","22.170702837461437","0","21863","0","0.03809182188090698","1.1378780362717589","0","0","0.1461739799262059","-0.031486710803691385","0","0.00020590173989679447","0","0","0.1966469985351175","1.1378780362717578","0",,,
BPL Ltd,BPL,"Home Electronics & Appliances","289.69156716500004","24.814271862824523","0","40804","0","0.001837644102690738",,,,"0","0.011907950729889177","-0.04880986919424676","0.014993134051175652","-0.00010390166429812345","-0.0001020913390383741","0.002654374814997732","-0.04145885148741968","-0.0000012068835064992043",,,
SRG Housing Finance Ltd,SRGHFL,"Consumer Finance","289.445","8.953961538461538","0","1622","0","0",,,,"0","0","0","0","0","0","0","3.2792307692307645","0",,,
Sky Gold Ltd,SKYGOLD,"Precious Metals, Jewellery & Watches","288.7954944","10.342446118162153","0","4610","0","0",,,,"0","0.00865609072327688","0.006580490474577155","0.00865609072327688","0","0","0","0","0","0.2575140452052703","-0.511919343849708","0"
Wonder Fibromats Ltd,WEL,"Home Electronics & Appliances","288.78724","2.357321950928303","0","1588","0","0",,,,"0","-0.0000746224106009663","0","9.992239269297356","0","0","0","0","0",,,
DEV Information Technology Ltd,DEVIT,"IT Services & Consulting","288.49480642","11.956053902486882","0","7044","0","0",,,,"0","-0.09207548165577006","-0.08917890305202092","1.7199886429706226","0","0","0","-0.537181516732602","0","-1.5418011708182706","-1.5418011708182706","0"
Mirae Asset Nifty 50 ETF,MAN50ETF,"Equity","286.834962568",,,,,,,,,,,,,,,,,,,,
Vijay Solvex Ltd,VIJSOLX,"Agro Products","286.32096271999995","9.689300754108613","0","5596","0","0","0.751242052068921","0.4365253704610963","0","0","-0.025177562730709726","0","0","0","0","0","0.7332418486078609","0",,,
Modi Naturals Ltd,MODINATUR,"Agro Products","285.844726245","16.530162573124088","0","5861","0","0",,,,"0","0","0","0","0","0","1.9856203941769526","0","0",,,
Dai Ichi Karkaria Ltd,DAICHI,"Specialty Chemicals","285.568351425","22.228829633339682","0","5389","0","0",,,,"0","0","0","0","-0.08479138139493492","-0.08479138139493492","0.3503448894135451","0","0",,,
SKP Bearing Industries Ltd,SKP,"Industrial Machinery","283.611","11.068674698795181","0","806","0","0",,,,"0","0","0","0","0","0","0","-26.506024096385545","0",,,
UCAL Fuel Systems Ltd,UCALFUEL,"Auto Parts","282.722695625","22.180560627215122","0","20245","0","0.005064750804085716",,,,"0","-0.000045220989322193894","0","0","0","0","0.005516960697307656","0","0",,,
Birla Precision Technologies Ltd,BIRLAPREC,"Industrial Machinery","282.428209799","23.17855134038802","0.20427558968369128","67152","0","0.0018721904599271805",,,,"0","0","0","0.011266848316124782","0","0","0.005529243346871681","0","0",,,
Menon Pistons Ltd,MENNPIS,"Auto Parts","282.234","19.975056862745095","0","16346","0","0",,,,"0","-0.016903921568627446","-0.0049352941176470586","0.03691568627450981","0","0","0","0","0",,,
Vikram Thermo (India) Ltd,VIKRAMTH,"Pharmaceuticals","281.87571365","19.72640662545423","0","10378","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,
Geekay Wires Ltd,GEEKAYWIRE,"Iron & Steel","281.05275","19.257644469957903","0","11565","0","0",,,,"0","-0.0002870264064293915","-0.00047837734404898585","0","0","0","0","0.05106199770378339","0","0.01550899349406809","-0.5049846919249904","0"
