Name,Ticker,"Sub-Sector","Market Cap","Close Price","Depreciation & Amortization","Dividend Per Share","EBITDA","Employee Cost","Earnings Per Share","Interest & Other Items","Net Income","Operating & Other expenses","PBIT","PBT","Power & Fuel Cost","Payout Ratio","Raw Materials","Selling & Administrative Expenses","Taxes & Other Items","Total Revenue","EBITDA (Q)","EPS (Q)","Net Income (Q)","Operating and Other Expenses (Q)","PBIT (Q)","PBT (Q)","Total revenue (Q)"
Debock Industries Ltd,DIL,"Agricultural & Farm Machinery","163.201207065","14.9","0.56","0","18.50999999999999",,"1.68","0.6","12.859999999999992","127.91","17.949999999999992","17.34999999999999",,"0",,,"4.489999999999999","146.42","-13.850000000000001","-0.14","-10.680000000000003","31.07","-13.980000000000002","-14.130000000000003","17.22"
Concord Control System Ltd,CNCRD,,"162.792","285.95","0.51","0","7.949999999999996",,"10.73","0.06","5.299999999999996","41.67","7.439999999999996","7.379999999999996",,"0",,,"2.08","49.62",,,,,,,
Jullundur Motor Agency (Delhi) Ltd,JMA,"Auto Parts","162.62830448","72.75","0.91","2","37.710000000000036",,"11.87","0","27.12000000000004","471.26","36.80000000000004","36.80000000000004",,"0.16849199663016007",,,"9.68","508.97","13.069999999999993","4.11","9.389999999999993","132.71","12.829999999999993","12.829999999999993","145.78"
Alphalogic Techsys Ltd,ALPHALOGIC,"Software Services","162.605582909","46","0.11","0","6.099999999999998",,"1.19","0.52","3.4199999999999973","16.87","5.9899999999999975","5.469999999999997",,"0",,,"2.05","22.97","1.9300000000000006","0.37","1.3200000000000007","6.78","1.9100000000000006","1.7500000000000007","8.71"
DIGJAM Ltd,DIGJAMLMTD,"Textiles","162.6","82.25","1.02","0","-7.07",,"-6.1","4.11","-12.2","41.17","-8.09","-12.2",,"0",,,"0","34.1","-1.1300000000000008","-1.18","-2.3600000000000008","8.47","-1.2800000000000007","-2.3600000000000008","7.34"
Scoobee Day Garments (India) Ltd,SCOOBEEDAY,,"162.0675","120.95","2.43","0","13.829999999999998",,"5.81","3.57","7.829999999999998","38.96","11.399999999999999","7.829999999999998",,"0",,,"0","52.79","5.51","3.09","4.18","9.24","4.91","4.18","14.75"
Vipul Ltd,VIPULLTD,"Real Estate","161.3791256","13.5","2.78","0","-68.52999999999999",,"-9.78","38.06","-117.32999999999998","153.39","-71.30999999999999","-109.36999999999999",,"0",,,"7.96","84.86","-0.9600000000000009","-0.58","-6.9300000000000015","13.07","-1.640000000000001","-7.920000000000002","12.11"
Udayshivakumar Infra Ltd,USK,"Construction & Engineering","161.36606892999998","29.25","6.39","0","32.190000000000026",,"4.37","4.28","16.060000000000024","255.72","25.800000000000026","21.520000000000024",,"0",,,"5.46","287.91","10.049999999999997","1.27","4.6599999999999975","111.55","8.119999999999997","6.149999999999998","121.6"
Duroply Industries Ltd,DUROPLY,"Paper Products","161.32724517","208.9","3.38","0","17.95999999999998",,"-9.77","6.66","5.229999999999981","286.54","14.57999999999998","7.91999999999998",,"0",,,"2.69","304.5","6.049999999999997","3.11","2.2499999999999973","79.43","5.1999999999999975","3.4599999999999973","85.48"
IL&FS Engineering and Construction Company Ltd,IL&FSENGG,"Construction & Engineering","161.27892594000002","12.9","10.18","0","-90.76000000000002",,"-9.46","23.07","-123.98000000000002","306.41","-100.94000000000003","-124.01000000000002",,"0",,,"-0.03","215.65","-60.56999999999999","-6.05","-79.35","168.44","-63.10999999999999","-79.38","107.87"
T T Ltd,TTL,"Textiles","161.12788475","74.55","3.13","0","11.369999999999976",,"-5.89","17.2","-12.670000000000023","193.27","8.239999999999977","-8.960000000000022",,"0",,,"3.71","204.64","-0.21999999999999886","-1.47","-3.1599999999999993","58.73","-1.129999999999999","-5.609999999999999","58.51"
Majestic Auto Ltd,MAJESAUT,"Auto Parts","161.00494683","154.2","8.8","7.5","36.120000000000005",,"4.54","13.71","3.7900000000000027","24.91","27.320000000000004","13.610000000000003",,"1.6519823788546255",,,"9.82","61.03","11.11","-0.5","-0.7500000000000018","7.97","8.889999999999999","5.599999999999999","19.08"
Parshva Enterprises Ltd,PARSHVA,"Precious Metals, Jewellery & Watches","160.89648149","167.55","0.05","0","0.4499999999999993","0.27","0.20896044269364272","0.11","0.2099999999999993","17.39","0.3999999999999993","0.2899999999999993","0.02","0","0","0.16","0.08","18.29","0.1200000000000001","0.07","0.0800000000000001","5.16","0.1200000000000001","0.1000000000000001","5.28"
Worth Peripherals Ltd,WORTH,"Packaging","160.738955","102.05","6.19","1","36.18000000000001",,"11.47","1.25","18.050000000000004","263.4","29.990000000000006","28.740000000000006",,"0.08718395815170009",,,"10.69","299.58","8.620000000000005","2.6","4.100000000000005","59.75","6.930000000000005","6.620000000000005","68.37"
Naysaa Securities Ltd,NAYSAA,"Investment Banking & Brokerage","160.484203125","148.9","0.1","0","-1.8399999999999999",,"-1.93",,"-1.98","15.08","-1.94","-1.94",,"0",,,"0.04","13.24","-2.4600000000000004","-2.17","-2.3600000000000003","5.15","-2.4800000000000004","-2.4800000000000004","2.69"
DJ Mediaprint & Logistics Ltd,DJML,"Logistics","160.1978928","145.65","2.62","0.15","8.519999999999996","2.68","3.066170168750181","1.32","3.319999999999996","27.22","5.899999999999996","4.579999999999996","0.21","0.048920963855421745","6.66","5.44","1.26","50.72999999999999","4.16","1.5","1.63","19.5","2.92","2.53","23.66"
Reliance Home Finance Ltd,RHFL,"Home Financing","160.06940994","3.3","1.96","0","9015.750000000002",,"111.72",,"5418.570000000003","-8624.380000000001","9013.790000000003","9013.790000000003",,"0",,,"3595.22","391.37","9620.25","123.14","5972.31","-9541.65","9619.77","9619.77","78.6"
Emmbi Industries Ltd,EMMBI,"Packaging","159.47760375","90.2","9.9",,"37.58999999999997","16.93","4.669271698193183","15.7","8.25999999999997","24.580000000000013","27.68999999999997","11.98999999999997","8.49","0","242.05","41.57","3.73","371.21","9.120000000000005","0.97","1.7300000000000046","91.13","6.670000000000004","2.5300000000000047","100.25"
