Name,Ticker,"Sub-Sector","Market Cap","Close Price","5Y Avg Return on Investment","5Y Avg Cash Flow Margin","5Y Avg Net Profit Margin","5Y Avg Return on Equity","5Y Avg Return on Assets","EBITDA Margin","Return on Investment","Cost of Goods Sold","Cash Flow Margin","5Y Avg EBITDA Margin","Net Profit Margin","ROCE","Return on Equity","Return on Assets"
Action Construction Equipment Ltd,ACE,"Heavy Machinery","7302.181578719999","609.8","14.453162619240127","6.236281807792025","5.856005902932716","14.493478728967858","7.239214189760238","11.906579425663402","15.552413124885408",,"6.625319226559649","9.806877328389394","7.797619047619055","31.638037207493387","16.43790593943185","8.98594742583362"
Lemon Tree Hotels Ltd,LEMONTREE,"Hotels, Resorts & Cruise Lines","7298.6185960600005","92.45","3.647481169261681","25.02811308900385","-9.208864020224349","-1.9181314978147923","-0.6727439945022402","51.3980646555155","2.651090916823793",,"31.89007000259269","36.61966504180106","13.026619514913067","10.515959902003717","-5.960768273769965","-2.3480601784407593"
Allcargo Logistics Ltd,ALLCARGO,"Logistics","7294.700107560001","301.8","10.301073099096927","4.265407392123389","3.2277923165004205","13.808808788688879","6.05696488432202","6.872466984112306","17.82855427420332",,"4.189678100243052","7.2779027783044","3.4649896202760124","19.596055433871985","30.05455876552069","10.944200807813557"
Jupiter Wagons Ltd,JWL,"Rail","7266.6690757","197",,"0.5703689783469696","8.254170165337154",,"7.841662910950501","12.26770461045757","8.251322912231633",,"5.036640885473962","15.469204062244666","5.8249289789854926","32.13365088260015","7.546711041206033","4.813018216004315"
Jammu and Kashmir Bank Ltd,J&KBANK,"Private Banks","7204.8868290850005","70.6",,"5.763861902838502","2.914532608619449","1.1206487299762309","0.07287301912013963","17.64779698966549",,,"-17.811888374819247","6.595920164584685","11.843224672371926","11.251878946101806","6.651352408500888","0.39453231030583297"
Mahindra Holidays and Resorts India Ltd,MHRIL,"Hotels, Resorts & Cruise Lines","7199.680409115","355.2","4.8050040916713055","20.805888297868336","0.7951934700829233","-0.9847567644529736","0.26105640901165034","22.36793477225535","7.995193946756077","272.97","25.960032766273606","18.45526174172979","4.385346617644256","3.9578792545736494","34.966203387256","1.2991681824569399"
Minda Corporation Ltd,MINDACORP,"Auto Parts","7198.988299619999","302.45","6.727370706816996","8.882122820570512","2.3357737387185233","7.804269240082493","3.822318349381942","11.096179244190107","14.184643430704499","2884.2","8.976111587386175","8.392790849812144","6.591904353669014","17.565199463972842","19.480297168680952","9.850766940202938"
Safari Industries (India) Ltd,SAFARI,"Apparel & Accessories","7182.93986955","3046.9","9.743558981108588","8.7306013225448","3.2466727459418365","12.546426335742666","7.294846727519554","16.890719151165843","23.54106946951199","790.85","4.1467448257794075","8.71149453477389","10.239553314121041","34.34925047155764","34.420883158343784","20.57106202404646"
Sun Pharma Advanced Research Co Ltd,SPARC,"Pharmaceuticals","7167.05927098","227.35",,"-112.40890741081148","-144.7468846141253",,"-62.86117038748149","-81.37867499799728","-40.67443796835971","27.86","-27.685652487382846","-134.67754999341702","-89.14924297043981","-33.00777050892228","-81.82720588235296","-40.09475599430745"
JM Financial Ltd,JMFINANCIL,"Investment Banking & Brokerage","7157.960410455","74.1","2.688505782889087","-4.276339839772174","17.766338593044612","6.918265194756171","2.6138179439594884","29.7475075305034","2.195167756918496",,"-73.24794275920037","34.23026087194035","17.866511918685518","3.77526958851341","5.455826747882782","2.176951229535159"
