Count: 0	Distance: 0.13ft	Time: 3.72sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.75sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.78sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.81sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.84sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.88sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.91sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.94sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 3.98sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 4.01sec	Speed: 0.13ft/sec 
Count: 0	Distance: 0.13ft	Time: 4.04sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.07sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.10sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.13sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.16sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.20sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.23sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.26sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.30sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.33sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.36sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.39sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.42sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.45sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.48sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.52sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.55sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.58sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.61sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.64sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.67sec	Speed: 0.15ft/sec 
Count: 0	Distance: 0.15ft	Time: 4.71sec	Speed: 0.15ft/sec 
